,Unnamed: 0,sentences,name,country,page,languages,legible,results,classes
175,824,"1.4 involvement of private sector  whereas normally soil testing labs will be set up by state government through state agencies, it is expected that state government will encourage involvement of other agencies such as private companies associated with agriculture extension in some way such as fertilizer companies, agriclinics, ngos, cooperative societies and private entrepreneursagri preneurs. the state governments will need to announce clear guidelines for involving these private sector agencies in the operation and management of these soil testing labs. state governments are encouraged to announce innovative opp guidelines for involvement of private sector for running of these labs. the guidelines should, inter alia, clearly define all the terms and conditions including the soil testing charges to be charged from farmers and the agreement to be signed with these private agencies, clear cut monitor able targets. state governments will monitor and review performance of these private sector labs periodically.",.NMSA_Guidelines_English,39,70,en,"1.4 involvement of private sectorwhereas normally soil testing labs will be set up by state government through state agencies, it is expected that state government will encourage involvement of other agencies such as private companies associated with agriculture extension in some way such as fertilizer companies, agriclinics, ngos, cooperative societies and private entrepreneursagri-preneurs. The state governments will need to announce clear guidelines for involving these private sector agencies in the operation and management of these soil testing labs. State governments are encouraged to announce innovative opp guidelines for involvement of private sector for running of these labs. The guidelines should, inter alia, clearly define all the terms and conditions including the soil testing charges to be charged from farmers and the agreement to be signed with these private agencies, clear cut monitor able targets. State governments will monitor and review performance of these private sector labs periodically.",0.45387418609592894,i
287,3419,"from the budget of the respective department  ministry after suitable review of the existing staff and infrastructure already available and actual requirement. it may also receive support from other institutes and agencies both national and international, corporate entities, and such other organisations which seek to support programmes on watershed mode.",.Watershed Guidelines_2011,39,20,en,"From the budget of the respective department  ministry after suitable review of the existing staff and infrastructure already available and actual requirement. It may also receive support from other institutes and agencies both national and international, corporate entities, and such other organisations which seek to support programmes on watershed mode.",0.46403423318854203,i
293,8110,"this team will be selected by the state level nodal agency either on deputation from experts available from the line departments or in case such experts are not available, they may be engaged on contract basis from the open market by a transparent process. their disciplines will, inter alia, include agriculture, water management, capacity building, social mobilisation, information technology, administration and finance accounts, etc. a requisite number of administrative staff will support this team of experts.",.Watershed Guidelines_2011,39,22,en,"This team will be selected by the state level nodal agency either on deputation from experts available from the line departments or in case such experts are not available, they may be engaged on contract basis from the open market by a transparent process. Their disciplines will, inter-alia, include agriculture, water management, capacity building, social mobilisation, information technology, administration and finance accounts, etc. A requisite number of administrative staff will support this team of experts.",0.463893235095605,i
357,2662,"the governments goal of electricity for all is sought to be achieved by the above programs that would require huge investments, infusion of new technology, availability of nuclear fuel and international support. ",’s Intended Nationally Determined Contributions_2015,39,10,en,"The governments goal of electricity for all is sought to be achieved by the above programs that would require huge investments, infusion of new technology, availability of nuclear fuel and international support.",0.4599262468399,i
387,8211,7 new ventures india vi is an initiative to support clean tech entrepreneurs in developing their business plans and access finance and markets. ,’s Intended Nationally Determined Contributions_2015,39,19,en,7 new ventures india vi is an initiative to support clean tech entrepreneurs in developing their business plans and access finance and markets.,0.548504947604856,i
411,203,"in order to achieve these goals, india has set up disaster relief funds at all levels and launched the national disaster relief fund, which is financed through the levy of a cess. ",’s Intended Nationally Determined Contributions_2015,39,24,en,"In order to achieve these goals, india has set up disaster relief funds at all levels and launched the national disaster relief fund, which is financed through the levy of a cess.",0.45507572446623795,i
417,11810,"missions. sacs describe in detail the impact of climate and vulnerability assessment, adaptation, mitigation options and financing and capacity building needs to implement the identified interventions. key sectors covered by sacs include agriculture, water, habitat, forestry, health and disaster management among others. ",’s Intended Nationally Determined Contributions_2015,39,26,en,"Missions. Sacs describe in detail the impact of climate and vulnerability assessment, adaptation, mitigation options and financing and capacity building needs to implement the identified interventions. Key sectors covered by sacs include agriculture, water, habitat, forestry, health and disaster management among others.",0.45145537906476707,i
419,204,"maximum share of india's current climate finance comes from budgetary sources, as most of the resources for adaptation and mitigation are built into the ongoing sectoral programmes. ",’s Intended Nationally Determined Contributions_2015,39,26,en,"Maximum share of india's current climate finance comes from budgetary sources, as most of the resources for adaptation and mitigation are built into the ongoing sectoral programmes.",0.573074884394676,i
421,24310,at the same time india is not relying solely on budgetary resources and is experimenting with a careful mix of market mechanisms together with fiscal instruments and regulatory interventions to mobilize finance for climate change. ,’s Intended Nationally Determined Contributions_2015,39,26,en,At the same time india is not relying solely on budgetary resources and is experimenting with a careful mix of market mechanisms together with fiscal instruments and regulatory interventions to mobilize finance for climate change.,0.501915799182701,i
423,11910,"2 india has set up a national adaptation fund with an initial allocation of int 3,50 0 million usd 5 5.6 million to combat the adaptation needs in sectors like agriculture, water, forestry etc. in addition to sectoral spending by the respective ministries. ",’s Intended Nationally Determined Contributions_2015,39,27,en,"2 india has set up a national adaptation fund with an initial allocation of int 3,500 million usd 55.6 million to combat the adaptation needs in sectors like agriculture, water, forestry etc. In addition to sectoral spending by the respective ministries.",0.47480135623554104,i
424,261,3 tax free infrastructure bonds of int 5 0 billion usd 79 4 million are being introduced for funding of renewable energy projects during the year 201 5 1 6. ,’s Intended Nationally Determined Contributions_2015,39,27,en,3 tax free infrastructure bonds of int 50 billion usd 794 million are being introduced for funding of renewable energy projects during the year 2015-16.,0.46892732266657,i
425,9310,"over the years, the carbon intensity of the indian economy has decreased, in large part, due to the adoption of new and innovative technologies which address climate mitigation and climate adaptation. the development, adoption and dissemination of these technologies has been an ongoing process which has led to, inter alia, increased energy efficiency and an increasing share of renewable in the electricity grid. this has been facilitated by several bilateral and multilateral collaborative efforts both in the public and private sector. ",’s Intended Nationally Determined Contributions_2015,39,28,en,"Over the years, the carbon intensity of the indian economy has decreased, in large part, due to the adoption of new and innovative technologies which address climate mitigation and climate adaptation. The development, adoption and dissemination of these technologies has been an ongoing process which has led to, inter-alia, increased energy efficiency and an increasing share of renewable in the electricity grid. This has been facilitated by several bilateral and multilateral collaborative efforts both in the public and private sector.",0.4979464358155,n
