"","sentences","name","country","page","languages"
"3","part ii  farm and  6. maintenance of 1 0 per cent tree cover. 7. farm forestry development notices. 8. protection of land prone to degradation. 9. seed production plans.","../data/raw/kenya/results/Agriculture Rules/1.txt","12","1","en"
"4","1 0. harvesting. 1 1. farm forestry compensation. 1 2. maintenance of registers. 1 3. general penalty.","../data/raw/kenya/results/Agriculture Rules/1.txt","12","1","en"
"21","these rules may be cited as the agriculture farm forestry rules, 200 9.","../data/raw/kenya/results/Agriculture Rules/2.txt","12","2","en"
"31","these rules shall apply for the purposes of promoting and maintaining farm forest cover of at least 1 0 per cent of every agricultural land holding and to preserve and sustain the environment in combating climate change and global warming.","../data/raw/kenya/results/Agriculture Rules/2.txt","12","2","en"
"16","in these rules, unless the context otherwise requires compliant certificate means a certificate issued by the district agricultural committee in accordance with rule 63ii; farm forestry means the practice of managing trees on farms whether singly, in rows, lines, boundaries or in woodlots or private forests; inspector means the district agricultural officer. 4. objectives and purpose of the rules the objective and purpose of these rules is to promote the establishment and sustainable management of farm forestry for the purposes of maintaining a compulsory farm tree cover of at least 1 0 per cent of any agricultural land holding; protecting riverbanks, shorelines, riparian and wetland areas; sustainable production of wood, charcoal and non-wood products; providing fruits and fodder; and carbon sequestration and other environmental services. 1 every person who owns or occupies agricultural land shall establish and maintain a minimum of 1 0 per cent of the land under farm forestry which may include trees on soil conservation structures or rangeland and cropland in any suitable configurations; provided that the species of trees or varieties planted shall not have adverse effects on water sources, crops, livestock, soil fertility and the neighbourhood and should not be of invasive nature.","../data/raw/kenya/results/Agriculture Rules/2.txt","12","2","en"
"17","2 no agricultural landowner or occupier shall grow or maintain any eucalyptus species in wetlands and riparian areas.","../data/raw/kenya/results/Agriculture Rules/2.txt","12","2","en"
"1","for the purpose of ascertaining whether the farm owner or occupier has complied with 1 0 per cent farm forestry or nursery requirement.","../data/raw/kenya/results/Agriculture Rules/3.txt","12","3","en"
"110","2 if an inspector ascertains that an owner or occupier has not complied with paragraph 1, he shall issue a farm forest establishment notice in form ff1 as set out in the schedule to these rules, requiring the owner or occupier to institute measures to comply with the requirement within such period as may be specified in the notice.","../data/raw/kenya/results/Agriculture Rules/4.txt","12","4","en"
"22","3 an inspector shall re-enter an agricultural land or nursery to ascertain compliance with the requirements of the notice issued under paragraph 2 and shall notify the owner or occupier of his intention to report the non-compliance to the district agricultural committee where the owner or occupier has not complied at the expiry of the period specified in the notice or issue a compliance certificate in form cff1 as set out in the schedule to these rules, signed by the chairman of the district agricultural committee where such owner or occupier has complied.","../data/raw/kenya/results/Agriculture Rules/4.txt","12","4","en"
"41","4 an inspector shall report to the district agricultural committee any occupier or owner of agricultural land who fails to comply with the provisions of the notice.","../data/raw/kenya/results/Agriculture Rules/4.txt","12","4","en"
"5","5 a person who obstructs or hinders an inspector in the exercise of his duties under these rules shall be guilty of an offence.","../data/raw/kenya/results/Agriculture Rules/4.txt","12","4","en"
"14","1 the district agricultural committee in consultation with the district environment committee if satisfied with respect to any agricultural land that a land owner or occupier was issued with a farm forestry establishment notice under rule 62 but did not comply with the notice at the expiry of the required period; a land owner or occupier had, but has not continued to maintain a minimum of 1 0 per cent of the land under farm forestry; having regard to the ecological characteristics of the land and the principles of good land management and good husbandry, the land has tree cover but is not reasonably covered with adequate forest cover to reach 1 0 per cent without the addition thereto of more trees; it is in the interests of proper environmental protection and development of the land for agricultural purposes that more trees should be added on the farm; a land owner or occupier is unwilling to comply to either establish or maintain a minimum of 1 0 per cent of the land under farm forestry cover, shall issue a farm forestry establishment and maintenance notice in form ff2 as set out in the schedule to these rules, requiring the owner or occupier to institute measures to comply with the requirement within the period as shall be specified in the notice. 2 where the land owner or occupier has not complied with paragraph 1, the district agricultural committee shall issue a farm forestry establishment and maintenance order in form ff3 as set out in the schedule to these rules.","../data/raw/kenya/results/Agriculture Rules/4.txt","12","4","en"
"15","3 the order shall require acts or things to be performed or done or prohibit acts or things from being performed or done to the satisfaction of the district agricultural committee, imposing conditions upon such requirements and describing periods and dates upon, within or before which such acts or things shall be performed or done or such conditions of establishing and maintaining farm forestry.","../data/raw/kenya/results/Agriculture Rules/4.txt","12","4","en"
"161","4 a land owner or occupier to whom the order is given under paragraph 2 may, within thirty 3 0 days after service thereof on him, contest the order in writing to the district agricultural committee giving reasons for non-compliance.","../data/raw/kenya/results/Agriculture Rules/4.txt","12","4","en"
"111","5 the district agricultural committee may, upon consideration of such contestant either direct that the order be implemented mutates mutandis.","../data/raw/kenya/results/Agriculture Rules/5.txt","12","5","en"
"42","6 a land owner or occupier who is not satisfied with the decision of the district agricultural committee under this rule may, within thirty 3 0 days after receiving the decision of the district agricultural committee, appeal to the agricultural appeals tribunal.","../data/raw/kenya/results/Agriculture Rules/5.txt","12","5","en"
"51","7 where no appeal is lodged with the agricultural appeals tribunal, the district agricultural committee shall apply to agricultural appeals tribunal to be allowed to plant and maintain the farm forest cover of 1 0 per cent and this shall be a civil debt on the land owner or occupier.","../data/raw/kenya/results/Agriculture Rules/5.txt","12","5","en"
"6","8 in the event of change of user of land from agricultural use to any other use, the new user shall maintain a 1 0 per cent farm forest cover.","../data/raw/kenya/results/Agriculture Rules/5.txt","12","5","en"
"8","8. protection of land prone to degradation 1 every district agricultural committee shall identify land under its area of jurisdiction which is at the risk of land degradation and institute measures necessary for ensuring its conservation including planting of trees.","../data/raw/kenya/results/Agriculture Rules/5.txt","12","5","en"
"9","2 where land is at the risk of degradation, the land owner or occupier shall be required to implement farm forestry measures as outlined in paragraph 1.","../data/raw/kenya/results/Agriculture Rules/5.txt","12","5","en"
"13","4 the agriculture basic land usage rules shall apply to sloping lands.","../data/raw/kenya/results/Agriculture Rules/5.txt","12","5","en"
"151","1 the district agricultural committees shall prepare and oversee the implementation of annual seedling production plan for provision of appropriate and adequate seedlings to land owners or occupiers in the district.","../data/raw/kenya/results/Agriculture Rules/5.txt","12","5","en"
"162","2 the district agricultural committee shall monitor the implementation of the plan in paragraph 1 and submit quarterly district reports to central agricultural board and make copies to the relevant line ministries.","../data/raw/kenya/results/Agriculture Rules/5.txt","12","5","en"
"171","1 every land owner or occupier shall ensure that harvesting of trees shall be done in such a manner as to maintain a 1 0 per cent tree cover at all times, with large scale harvesting requiring a harvesting plan as governed by the provisions of the forest act no. 7 of 200 5.","../data/raw/kenya/results/Agriculture Rules/5.txt","12","5","en"
