,Unnamed: 0,sentences,name,country,page,languages,legible,results,class
38,561,"the purpose of the middle level institutions is to provide a link between national and local level implementation of asds, technical support and coordination between ministries and stakeholders. in this connection, the following institutions will be strengthened  the inter ministerial coordination committee icc will be expanded to include all ministries that provide services to the agricultural sector. the icc will be composed of permanent secretaries of the collaborating ministries, and will be responsible for coordinating the planning of the strategy at the agricultural sector level and monitoring its implementation to ensure that its goals are achieved.",Agriculture Sectoral Development Strategy,12,10,en,"The purpose of the middle-level institutions is to provide a link between national and local level implementation of asds, technical support and coordination between ministries and stakeholders. In this connection, the following institutions will be strengthened  the inter-ministerial coordination committee icc will be expanded to include all ministries that provide services to the agricultural sector. The icc will be composed of permanent secretaries of the collaborating ministries, and will be responsible for coordinating the planning of the strategy at the agricultural sector level and monitoring its implementation to ensure that its goals are achieved.",0.402747796025677,n
68,65,"to address these challenges, the government will implement the regional development policy, rationalize and restructure the authorities, and consolidate the regional development acts. emphasis will be on developing resource master plans and implementing integrated development programmes that create social and economic impact in the regions and nationally. more specifically, the following interventions will be implemented  implementing policy and institutional reforms to strengthen regional development planning  developing and conserving river banks, water bodies and catchments areas  developing community support and empowerment programmes  formulating and implementing integrated basin based development programmes.",Agriculture Sectoral Development Strategy,12,106,en,"To address these challenges, the government will implement the regional development policy, rationalize and restructure the authorities, and consolidate the regional development acts. Emphasis will be on developing resource master plans and implementing integrated development programmes that create social and economic impact in the regions and nationally. More specifically, the following interventions will be implemented  implementing policy and institutional reforms to strengthen regional development planning  developing and conserving river banks, water bodies and catchments areas  developing community support and empowerment programmes  formulating and implementing integrated basin-based development programmes.",0.40384750871186503,n
71,1026,"lack of a database and information to support regional development is another major constraint. this has contributed to lack of comprehensive planning by stakeholders in the regions. therefore, supporting information and records management in the subsector will provide the necessary data to support development planning and provide investment opportunities.",Agriculture Sectoral Development Strategy,12,106,en,"Lack of a database and information to support regional development is another major constraint. This has contributed to lack of comprehensive planning by stakeholders in the regions. Therefore, supporting information and records management in the subsector will provide the necessary data to support development planning and provide investment opportunities.",0.408916316184265,i
76,73,"to contribute to efforts to reduce poverty and increase income, the subsector will promote integrated community programmes that support empowerment ventures and reduce poverty in rural areas. to achieve this, partnerships, collaboration and linkages with other stakeholders will be forged in the use of devolved funds in rural areas.",Agriculture Sectoral Development Strategy,12,107,en,"To contribute to efforts to reduce poverty and increase income, the subsector will promote integrated community programmes that support empowerment ventures and reduce poverty in rural areas. To achieve this, partnerships, collaboration and linkages with other stakeholders will be forged in the use of devolved funds in rural areas.",0.41004219143574,i
90,116,secretariat. its terms of reference will include preparing technical guidelines for implementing the strategy and formulating interventions according to tefl budgetary process and the medium term plan.ascu has established thematic working groups that address key fast track areas of the strategy in consultation with relevant sector players and resource persons.,Agriculture Sectoral Development Strategy,12,11,en,Secretariat. Its terms of reference will include preparing technical guidelines for implementing the strategy and formulating interventions according to tefl budgetary process and the medium-term plan.ascu has established thematic working groups that address key fast-track areas of the strategy in consultation with relevant sector players and resource persons.,0.40062687845216105,n
99,54,"the government shall also further reform and streamline agricultural institutions that provide services to farmers such as extension, training, research and regulatory services to ensure that they serve farmers efficiently and cost effectively. we shall also institute policy, legal and regulatory reforms so that individual farmers are encouraged to shift from subsistence to market oriented production, and to adopt greater use of modern farming practices while increasing integration of agriculture with other sectors in the national economy.",Agriculture Sectoral Development Strategy,12,110,en,"The government shall also further reform and streamline agricultural institutions that provide services to farmers such as extension, training, research and regulatory services to ensure that they serve farmers efficiently and cost effectively. We shall also institute policy, legal and regulatory reforms so that individual farmers are encouraged to shift from subsistence to market-oriented production, and to adopt greater use of modern farming practices while increasing integration of agriculture with other sectors in the national economy.",0.413297460227619,n
116,122,"the government has taken bold measures to combat corruption, promote good governance and instil a sense of financial discipline and prudent management of the economy. as a result, kenyas relations with development partners have improved dramatically in recent years. this has resulted in a major increase in external assistance, which has had a positive impact on the inflow of foreign investment and the delivery of services by the government.",Agriculture Sectoral Development Strategy,12,115,en,"The government has taken bold measures to combat corruption, promote good governance and instil a sense of financial discipline and prudent management of the economy. As a result, kenyas relations with development partners have improved dramatically in recent years. This has resulted in a major increase in external assistance, which has had a positive impact on the inflow of foreign investment and the delivery of services by the government.",0.40731807859201496,n
125,612,"energy is one of the infrastructural enablers for agricultural growth. the level and intensity of commercial energy use in the agricultural sector is a key indicator of the degree of economic growth and development. to improve the energy supply, the agricultural sector ministries, in collaboration with the rural electrification authority, will develop a comprehensive rural electrification master plan to enhance agro industry.",Agriculture Sectoral Development Strategy,12,116,en,"Energy is one of the infrastructural enablers for agricultural growth. The level and intensity of commercial energy use in the agricultural sector is a key indicator of the degree of economic growth and development. To improve the energy supply, the agricultural sector ministries, in collaboration with the rural electrification authority, will develop a comprehensive rural electrification master plan to enhance agro-industry.",0.417805575390496,n
140,126,"the youth will be sensitized on lucrative ventures in the agricultural sector, and processing plants for value addition will be established in rural areas to provide employment opportunities for the youth and to allow them to produce agricultural raw materials. linkages between the ministry of youth and sports and the agricultural sector will be established to offer incentives to the youth in farming either through the youth enterprise development fund, constituency development fund or the innovation fund for agriculture and agribusiness.",Agriculture Sectoral Development Strategy,12,119,en,"The youth will be sensitized on lucrative ventures in the agricultural sector, and processing plants for value addition will be established in rural areas to provide employment opportunities for the youth and to allow them to produce agricultural raw materials. Linkages between the ministry of youth and sports and the agricultural sector will be established to offer incentives to the youth in farming either through the youth enterprise development fund, constituency development fund or the innovation fund for agriculture and agribusiness.",0.489973173709831,i
144,78,"much of the current planning is as a result of years of centralized planning, which has been supported by the systems for accessing external support, mainly through the government ministries. the top down system is supported by human resources and other institutional arrangements.",Agriculture Sectoral Development Strategy,12,119,en,"Much of the current planning is as a result of years of centralized planning, which has been supported by the systems for accessing external support, mainly through the government ministries. The top-down system is supported by human resources and other institutional arrangements.",0.42053245223113,n
150,414,"an innovative feature of the strategy is its implementation through local authorities and district development committees where district development plans are formulated; district agricultural development plans will be a component of district development plans. agricultural development at the district level will be incorporated into the overall development plans of the district. an important and new role for the lead agricultural sector ministries will be to ensure that local authorities appreciate the importance of a strong and vibrant agricultural sector within their districts, and give it priority in planning and in allocation of funds. local authorities will allocate a proportion of locally generated funds for agricultural development and thus qualify for grants to supplement their efforts to develop the agricultural sector. other sources of funds like the cf will be channelled to activities that give priority to agricultural development.",Agriculture Sectoral Development Strategy,12,120,en,"An innovative feature of the strategy is its implementation through local authorities and district development committees where district development plans are formulated; district agricultural development plans will be a component of district development plans. Agricultural development at the district level will be incorporated into the overall development plans of the district. An important and new role for the lead agricultural sector ministries will be to ensure that local authorities appreciate the importance of a strong and vibrant agricultural sector within their districts, and give it priority in planning and in allocation of funds. Local authorities will allocate a proportion of locally generated funds for agricultural development and thus qualify for grants to supplement their efforts to develop the agricultural sector. Other sources of funds like the CF will be channelled to activities that give priority to agricultural development.",0.46897017218659004,i
159,513,"implementing outcome agricultural sector strategic agencies growth result areas 1. crop land development subsector sector ministries, private sector organizations institutions, development partners, ministry of planning and national development, ag chambers, ministry of finance, and parliament.",Agriculture Sectoral Development Strategy,12,19,en,"Implementing outcome agricultural sector strategic agencies growth result areas 1. Crop land development subsector sector ministries, private sector organizations institutions, development partners, ministry of planning and national development, ag chambers, ministry of finance, and parliament.",0.487986052443322,n
178,319,"the strategic thrust of increasing the productivity, commercialization and competitiveness of agricultural commodities will enable the sector to export more outputs, earn the country foreign exchange, and create employment. with the responsibilities of the agricultural sector currently spread across 1 0 ministries and the need for partnerships with several other ministries and stakeholders, implementation of asds will require strong partnerships among the government, private sector, development partners and other non state actors. a sector wide approach and strong coordination mechanisms will be instrumental in the success of the strategy.",Agriculture Sectoral Development Strategy,12,29,en,"The strategic thrust of increasing the productivity, commercialization and competitiveness of agricultural commodities will enable the sector to export more outputs, earn the country foreign exchange, and create employment. With the responsibilities of the agricultural sector currently spread across 10 ministries and the need for partnerships with several other ministries and stakeholders, implementation of asds will require strong partnerships among the government, private sector, development partners and other non-state actors. A sector-wide approach and strong coordination mechanisms will be instrumental in the success of the strategy.",0.459539412709062,n
182,516,"currently, the responsibilities for agricultural development are spread across the sector ministries. other ministries responsible for roads, local authorities, administration, health, education, trade and industry, and finance support the functions of the agricultural sector ministries. key stakeholders will implement the agriculture sector development strategy asds in a sector wide approach in which sector ministries, the private sector and development partners will each have distinct roles to play coordinated by the the asds will be implemented through the established structure of government ministries that go to the district, division and location level. each sector ministry will work out the activities under its dockets and make elaborate financing plans in the medium term plans, which will be funded by the government of kenya, development partners and the private sector. implementation will be carried out through the medium term expenditure framework tefl of financial allocation by treasury. the expenditure frameworks and the medium term plans will be harmonized with the respective development documents currently being implemented by the planning and finance ministries to align them with vision 203 0 and other government development plans.",Agriculture Sectoral Development Strategy,12,3,en,"Currently, the responsibilities for agricultural development are spread across the sector ministries. Other ministries responsible for roads, local authorities, administration, health, education, trade and industry, and finance support the functions of the agricultural sector ministries. Key stakeholders will implement the agriculture sector development strategy asds in a sector-wide approach in which sector ministries, the private sector and development partners will each have distinct roles to play coordinated by the the asds will be implemented through the established structure of government ministries that go to the district, division and location level. Each sector ministry will work out the activities under its dockets and make elaborate financing plans in the medium-term plans, which will be funded by the government of kenya, development partners and the private sector. Implementation will be carried out through the medium-term expenditure framework tefl of financial allocation by treasury. The expenditure frameworks and the medium term plans will be harmonized with the respective development documents currently being implemented by the planning and finance ministries to align them with vision 2030 and other government development plans.",0.547595937422009,i
187,320,"the government also established and supported many agricultural institutions such as farmer cooperatives and those for agricultural inputs, marketing, credit and agroprocessing. budgetary allocation to the agricultural sector during this period was at an average of 1 3 per cent of the national budget.",Agriculture Sectoral Development Strategy,12,31,en,"The government also established and supported many agricultural institutions such as farmer cooperatives and those for agricultural inputs, marketing, credit and agroprocessing. Budgetary allocation to the agricultural sector during this period was at an average of 13 per cent of the national budget.",0.488700368126541,i
197,1110,"reviving agricultural institutions. one of the pledges of the narc government was to revive all public institutions that provide services to citizens. within the agricultural sector, this has been a success story. institutions that were on the verge of collapse and have since been revived are the kenya meat commission, the kenya cooperative creameries kcc, the kenya seed company, the agricultural finance corporation, and the agricultural development corporation. institutions that were considered moribund and dysfunctional, such as research and extension services with their subcentres, training centres and tractor hire are now vibrant and providing services to farmers. even institutions that were running into losses, such as the sugar factories, have been revived, are reporting profits and are on the verge of being privatized.",Agriculture Sectoral Development Strategy,12,34,en,"Reviving agricultural institutions. One of the pledges of the narc government was to revive all public institutions that provide services to citizens. Within the agricultural sector, this has been a success story. Institutions that were on the verge of collapse and have since been revived are the kenya meat commission, the kenya cooperative creameries kcc, the kenya seed company, the agricultural finance corporation, and the agricultural development corporation. Institutions that were considered moribund and dysfunctional, such as research and extension services with their subcentres, training centres and tractor hire are now vibrant and providing services to farmers. Even institutions that were running into losses, such as the sugar factories, have been revived, are reporting profits and are on the verge of being privatized.",0.45859054435427704,n
216,1429,the ascu mandate is to facilitate and add value to the reform process and to coordinate the efforts of sector ministries and other stakeholders towards implementing the asds vision.,Agriculture Sectoral Development Strategy,12,4,en,The ascu mandate is to facilitate and add value to the reform process and to coordinate the efforts of sector ministries and other stakeholders towards implementing the asds vision.,0.411458172316726,n
217,98,"ascu will link the sector players and provide an enabling environment for sector wide consultations along the various levels of implementation, from the division to district to national level. ascu will not be involved in the actual implementation of the strategy. however, it shall coordinate budgeting within the sector, and participate in the review of subsector strategic and annual work plans to ensure they conform to asds, vision 203 0, the megs and other government development agenda.drive reforms in the sector and fast track implementation of the asds in a coordinated manner across sector ministries and other partners  be the referral centre for reforms, and collect, analyse and disseminate information on agricultural reforms   influence sector resource allocation to areas of highest impact  initiate major studies and policy developments within the agricultural sector  be accent for capacity building for all stakeholders involved or affected by the agricultural reform process * monitor implementation of asds activities.",Agriculture Sectoral Development Strategy,12,4,en,"Ascu will link the sector players and provide an enabling environment for sector-wide consultations along the various levels of implementation, from the division to district to national level. Ascu will not be involved in the actual implementation of the strategy. However, it shall coordinate budgeting within the sector, and participate in the review of subsector strategic and annual work plans to ensure they conform to asds, vision 2030, the megs and other government development agenda.drive reforms in the sector and fast-track implementation of the asds in a coordinated manner across sector ministries and other partners  be the referral centre for reforms, and collect, analyse and disseminate information on agricultural reforms   influence sector resource allocation to areas of highest impact  initiate major studies and policy developments within the agricultural sector  be accent for capacity building for all stakeholders involved or affected by the agricultural reform process * monitor implementation of asds activities.",0.41482978097525103,n
235,424,"medium scale farms range from 3 to 4 9 ha. farmers in this category are receptive to technology and practise commercial agriculture by investing in inputs, marketing produce and borrowing credit for farm development.",Agriculture Sectoral Development Strategy,12,42,en,"Medium-scale farms range from 3 to 49 ha. Farmers in this category are receptive to technology and practise commercial agriculture by investing in inputs, marketing produce and borrowing credit for farm development.",0.42883046689836896,i
263,233,"the cooperative movement has played an important role in agricultural development and in the economy. agricultural cooperatives have helped in procurement of inputs, production, value addition and marketing. in the financial sector the cooperative movement through savings and credit cooperatives sac cos has helped mobilize savings and provide credit to producers.",Agriculture Sectoral Development Strategy,12,48,en,"The cooperative movement has played an important role in agricultural development and in the economy. Agricultural cooperatives have helped in procurement of inputs, production, value addition and marketing. In the financial sector the cooperative movement through savings and credit cooperatives sac cos has helped mobilize savings and provide credit to producers.",0.461399958340645,i
274,331,"to contribute significantly to the development and growth of the agricultural sector, the role of the private sector in providing physical and social infrastructure, production, processing, input and output marketing, imports and exports, providing financial services and goods and services will need to be clearly defined. to facilitate effective participation, appropriate reforms in the legal and regulatory framework shall be instituted.",Agriculture Sectoral Development Strategy,12,5,en,"To contribute significantly to the development and growth of the agricultural sector, the role of the private sector in providing physical and social infrastructure, production, processing, input and output marketing, imports and exports, providing financial services and goods and services will need to be clearly defined. To facilitate effective participation, appropriate reforms in the legal and regulatory framework shall be instituted.",0.40408040589978,i
275,526,"bilateral and multilateral donors have for many years financed kenyas agricultural budget. with the countrys increased financial capacity, the role of development partners has been reduced and governments own resources are now financing over 9 0 per cent of the agricultural budget. however, development partners continue to play an important role, particularly in spearheading new initiatives and carrying out pilot projects.",Agriculture Sectoral Development Strategy,12,5,en,"Bilateral and multilateral donors have for many years financed kenyas agricultural budget. With the countrys increased financial capacity, the role of development partners has been reduced and governments own resources are now financing over 90 per cent of the agricultural budget. However, development partners continue to play an important role, particularly in spearheading new initiatives and carrying out pilot projects.",0.576015185975937,n
285,432,"access to bank credit by farmers is still a major challenge despite the fact that kenya has a relatively well developed banking system. risks associated with agribusiness coupled with complicated land laws and tenure systems that limit the use of land as collateral make financing agriculture unattractive to the formal banking industry. in addition, corruption, political interference in the operations particularly of state owned banks, and a dysfunctional court system in the past, gave rise to a culture of defaulting that led to high numbers of non performing loans. this development forced many banks to charge their customers, who included farmers, prohibitively high interest rates to remain afloat. limited competition in the banking industry despite the large number of banks, also ensures interest rates remain high. the cost of bank credit and the limited number of banks in rural areas are some of the factors that make it difficult for farmers to access bank credit.",Agriculture Sectoral Development Strategy,12,51,en,"Access to bank credit by farmers is still a major challenge despite the fact that kenya has a relatively well-developed banking system. Risks associated with agribusiness coupled with complicated land laws and tenure systems that limit the use of land as collateral make financing agriculture unattractive to the formal banking industry. In addition, corruption, political interference in the operations particularly of state-owned banks, and a dysfunctional court system in the past, gave rise to a culture of defaulting that led to high numbers of non-performing loans. This development forced many banks to charge their customers, who included farmers, prohibitively high interest rates to remain afloat. Limited competition in the banking industry despite the large number of banks, also ensures interest rates remain high. The cost of bank credit and the limited number of banks in rural areas are some of the factors that make it difficult for farmers to access bank credit.",0.45741441256345294,d
286,528,"after independence, the government set up the agricultural finance corporation to provide long term credit to individuals and groups to purchase farms and to finance farm improvement, as well as seasonal credit for production. by providing suppliers with credit, cooperative societies also supported farmers. these organizations have been mismanaged and run down and are no longer important sources of finance for agriculture. indeed, a large number almost collapsed. today, farmers get credit mainly from cooperatives, ngos and community based lending institutions.",Agriculture Sectoral Development Strategy,12,51,en,"After independence, the government set up the agricultural finance corporation to provide long-term credit to individuals and groups to purchase farms and to finance farm improvement, as well as seasonal credit for production. By providing suppliers with credit, cooperative societies also supported farmers. These organizations have been mismanaged and run down and are no longer important sources of finance for agriculture. Indeed, a large number almost collapsed. Today, farmers get credit mainly from cooperatives, ngos and community-based lending institutions.",0.548360260555807,d
