,Unnamed: 0,sentences,name,country,page,languages,legible,results,class
38,561,"the purpose of the middle level institutions is to provide a link between national and local level implementation of asds, technical support and coordination between ministries and stakeholders. in this connection, the following institutions will be strengthened  the inter ministerial coordination committee icc will be expanded to include all ministries that provide services to the agricultural sector. the icc will be composed of permanent secretaries of the collaborating ministries, and will be responsible for coordinating the planning of the strategy at the agricultural sector level and monitoring its implementation to ensure that its goals are achieved.",Agriculture Sectoral Development Strategy,12,10,en,"The purpose of the middle-level institutions is to provide a link between national and local level implementation of asds, technical support and coordination between ministries and stakeholders. In this connection, the following institutions will be strengthened  the inter-ministerial coordination committee icc will be expanded to include all ministries that provide services to the agricultural sector. The icc will be composed of permanent secretaries of the collaborating ministries, and will be responsible for coordinating the planning of the strategy at the agricultural sector level and monitoring its implementation to ensure that its goals are achieved.",0.402747796025677,n
68,65,"to address these challenges, the government will implement the regional development policy, rationalize and restructure the authorities, and consolidate the regional development acts. emphasis will be on developing resource master plans and implementing integrated development programmes that create social and economic impact in the regions and nationally. more specifically, the following interventions will be implemented  implementing policy and institutional reforms to strengthen regional development planning  developing and conserving river banks, water bodies and catchments areas  developing community support and empowerment programmes  formulating and implementing integrated basin based development programmes.",Agriculture Sectoral Development Strategy,12,106,en,"To address these challenges, the government will implement the regional development policy, rationalize and restructure the authorities, and consolidate the regional development acts. Emphasis will be on developing resource master plans and implementing integrated development programmes that create social and economic impact in the regions and nationally. More specifically, the following interventions will be implemented  implementing policy and institutional reforms to strengthen regional development planning  developing and conserving river banks, water bodies and catchments areas  developing community support and empowerment programmes  formulating and implementing integrated basin-based development programmes.",0.40384750871186503,n
71,1026,"lack of a database and information to support regional development is another major constraint. this has contributed to lack of comprehensive planning by stakeholders in the regions. therefore, supporting information and records management in the subsector will provide the necessary data to support development planning and provide investment opportunities.",Agriculture Sectoral Development Strategy,12,106,en,"Lack of a database and information to support regional development is another major constraint. This has contributed to lack of comprehensive planning by stakeholders in the regions. Therefore, supporting information and records management in the subsector will provide the necessary data to support development planning and provide investment opportunities.",0.408916316184265,n
76,73,"to contribute to efforts to reduce poverty and increase income, the subsector will promote integrated community programmes that support empowerment ventures and reduce poverty in rural areas. to achieve this, partnerships, collaboration and linkages with other stakeholders will be forged in the use of devolved funds in rural areas.",Agriculture Sectoral Development Strategy,12,107,en,"To contribute to efforts to reduce poverty and increase income, the subsector will promote integrated community programmes that support empowerment ventures and reduce poverty in rural areas. To achieve this, partnerships, collaboration and linkages with other stakeholders will be forged in the use of devolved funds in rural areas.",0.41004219143574,i
90,116,secretariat. its terms of reference will include preparing technical guidelines for implementing the strategy and formulating interventions according to tefl budgetary process and the medium term plan.ascu has established thematic working groups that address key fast track areas of the strategy in consultation with relevant sector players and resource persons.,Agriculture Sectoral Development Strategy,12,11,en,Secretariat. Its terms of reference will include preparing technical guidelines for implementing the strategy and formulating interventions according to tefl budgetary process and the medium-term plan.ascu has established thematic working groups that address key fast-track areas of the strategy in consultation with relevant sector players and resource persons.,0.40062687845216105,n
99,54,"the government shall also further reform and streamline agricultural institutions that provide services to farmers such as extension, training, research and regulatory services to ensure that they serve farmers efficiently and cost effectively. we shall also institute policy, legal and regulatory reforms so that individual farmers are encouraged to shift from subsistence to market oriented production, and to adopt greater use of modern farming practices while increasing integration of agriculture with other sectors in the national economy.",Agriculture Sectoral Development Strategy,12,110,en,"The government shall also further reform and streamline agricultural institutions that provide services to farmers such as extension, training, research and regulatory services to ensure that they serve farmers efficiently and cost effectively. We shall also institute policy, legal and regulatory reforms so that individual farmers are encouraged to shift from subsistence to market-oriented production, and to adopt greater use of modern farming practices while increasing integration of agriculture with other sectors in the national economy.",0.413297460227619,n
116,122,"the government has taken bold measures to combat corruption, promote good governance and instil a sense of financial discipline and prudent management of the economy. as a result, kenyas relations with development partners have improved dramatically in recent years. this has resulted in a major increase in external assistance, which has had a positive impact on the inflow of foreign investment and the delivery of services by the government.",Agriculture Sectoral Development Strategy,12,115,en,"The government has taken bold measures to combat corruption, promote good governance and instil a sense of financial discipline and prudent management of the economy. As a result, kenyas relations with development partners have improved dramatically in recent years. This has resulted in a major increase in external assistance, which has had a positive impact on the inflow of foreign investment and the delivery of services by the government.",0.40731807859201496,n
125,612,"energy is one of the infrastructural enablers for agricultural growth. the level and intensity of commercial energy use in the agricultural sector is a key indicator of the degree of economic growth and development. to improve the energy supply, the agricultural sector ministries, in collaboration with the rural electrification authority, will develop a comprehensive rural electrification master plan to enhance agro industry.",Agriculture Sectoral Development Strategy,12,116,en,"Energy is one of the infrastructural enablers for agricultural growth. The level and intensity of commercial energy use in the agricultural sector is a key indicator of the degree of economic growth and development. To improve the energy supply, the agricultural sector ministries, in collaboration with the rural electrification authority, will develop a comprehensive rural electrification master plan to enhance agro-industry.",0.417805575390496,n
144,78,"much of the current planning is as a result of years of centralized planning, which has been supported by the systems for accessing external support, mainly through the government ministries. the top down system is supported by human resources and other institutional arrangements.",Agriculture Sectoral Development Strategy,12,119,en,"Much of the current planning is as a result of years of centralized planning, which has been supported by the systems for accessing external support, mainly through the government ministries. The top-down system is supported by human resources and other institutional arrangements.",0.42053245223113,n
216,1429,the ascu mandate is to facilitate and add value to the reform process and to coordinate the efforts of sector ministries and other stakeholders towards implementing the asds vision.,Agriculture Sectoral Development Strategy,12,4,en,The ascu mandate is to facilitate and add value to the reform process and to coordinate the efforts of sector ministries and other stakeholders towards implementing the asds vision.,0.411458172316726,n
217,98,"ascu will link the sector players and provide an enabling environment for sector wide consultations along the various levels of implementation, from the division to district to national level. ascu will not be involved in the actual implementation of the strategy. however, it shall coordinate budgeting within the sector, and participate in the review of subsector strategic and annual work plans to ensure they conform to asds, vision 203 0, the megs and other government development agenda.drive reforms in the sector and fast track implementation of the asds in a coordinated manner across sector ministries and other partners  be the referral centre for reforms, and collect, analyse and disseminate information on agricultural reforms   influence sector resource allocation to areas of highest impact  initiate major studies and policy developments within the agricultural sector  be accent for capacity building for all stakeholders involved or affected by the agricultural reform process * monitor implementation of asds activities.",Agriculture Sectoral Development Strategy,12,4,en,"Ascu will link the sector players and provide an enabling environment for sector-wide consultations along the various levels of implementation, from the division to district to national level. Ascu will not be involved in the actual implementation of the strategy. However, it shall coordinate budgeting within the sector, and participate in the review of subsector strategic and annual work plans to ensure they conform to asds, vision 2030, the megs and other government development agenda.drive reforms in the sector and fast-track implementation of the asds in a coordinated manner across sector ministries and other partners  be the referral centre for reforms, and collect, analyse and disseminate information on agricultural reforms   influence sector resource allocation to areas of highest impact  initiate major studies and policy developments within the agricultural sector  be accent for capacity building for all stakeholders involved or affected by the agricultural reform process * monitor implementation of asds activities.",0.41482978097525103,n
235,424,"medium scale farms range from 3 to 4 9 ha. farmers in this category are receptive to technology and practise commercial agriculture by investing in inputs, marketing produce and borrowing credit for farm development.",Agriculture Sectoral Development Strategy,12,42,en,"Medium-scale farms range from 3 to 49 ha. Farmers in this category are receptive to technology and practise commercial agriculture by investing in inputs, marketing produce and borrowing credit for farm development.",0.42883046689836896,n
274,331,"to contribute significantly to the development and growth of the agricultural sector, the role of the private sector in providing physical and social infrastructure, production, processing, input and output marketing, imports and exports, providing financial services and goods and services will need to be clearly defined. to facilitate effective participation, appropriate reforms in the legal and regulatory framework shall be instituted.",Agriculture Sectoral Development Strategy,12,5,en,"To contribute significantly to the development and growth of the agricultural sector, the role of the private sector in providing physical and social infrastructure, production, processing, input and output marketing, imports and exports, providing financial services and goods and services will need to be clearly defined. To facilitate effective participation, appropriate reforms in the legal and regulatory framework shall be instituted.",0.40408040589978,n
305,532,"inadequate budgetary allocation. insufficient budgetary allocation to the agricultural sector is a key constraint. in 200 3 under the maputo declaration, african heads of state committed to allocate 1 0 per cent of their annual budgets to the agricultural sector. kenya has not yet achieved this target; by 200 8, the sector was receiving 4.5 per cent of the budget. this insufficient allocation has reduced human resources and service delivery by government institutions. reduced effectiveness of extension services. the effectiveness of extension services declined over the last two decades due to use of inappropriate methods and a sharp reduction in operational budgets and human resources in the sector ministries. in particular, livestock extension in asals has been underfinanced. while much has been achieved in the last 5 years, inadequate financial and human resources continue to constrain the sector.",Agriculture Sectoral Development Strategy,12,56,en,"Inadequate budgetary allocation. Insufficient budgetary allocation to the agricultural sector is a key constraint. In 2003 under the maputo declaration, african heads of state committed to allocate 10 per cent of their annual budgets to the agricultural sector. Kenya has not yet achieved this target; by 2008, the sector was receiving 4.5 per cent of the budget. This insufficient allocation has reduced human resources and service delivery by government institutions. Reduced effectiveness of extension services. The effectiveness of extension services declined over the last two decades due to use of inappropriate methods and a sharp reduction in operational budgets and human resources in the sector ministries. In particular, livestock extension in asals has been underfinanced. While much has been achieved in the last 5 years, inadequate financial and human resources continue to constrain the sector.",0.415374684672187,d
344,439," enhancing farmer access to affordable inputs and creditenhancing institutional efficiency and effectiveness in implementation and service delivery the current policy environment is not supportive of private sector led agricultural development. multiple and complex laws and regulations have evolved in the agricultural sector, which do not allow for investment in a liberalized economic environment. appropriate policies should provide for the changed role of government as a facilitator and regulator of agricultural activities.",Agriculture Sectoral Development Strategy,12,63,en,"Enhancing farmer access to affordable inputs and creditenhancing institutional efficiency and effectiveness in implementation and service delivery the current policy environment is not supportive of private sector-led agricultural development. Multiple and complex laws and regulations have evolved in the agricultural sector, which do not allow for investment in a liberalized economic environment. Appropriate policies should provide for the changed role of government as a facilitator and regulator of agricultural activities.",0.413902618929783,n
352,440,"the subsector will emphasize collecting, collating and disseminating information on domestic and international markets. the information will be disseminated to producers, exporters and service providers. global information networks will be developed through subscriptions to trade information systems and close collaboration with kenyas diplomatic service. to support an effective marketing strategy, the agriculture subsector will collaborate with other stakeholders in the public sector to facilitate private sector involvement in the development of marketing infrastructure, especially rural market facilities. farmer organizations will be supported and empowered to play their role in providing market support services.",Agriculture Sectoral Development Strategy,12,64,en,"The subsector will emphasize collecting, collating and disseminating information on domestic and international markets. The information will be disseminated to producers, exporters and service providers. Global information networks will be developed through subscriptions to trade information systems and close collaboration with kenyas diplomatic service. To support an effective marketing strategy, the agriculture subsector will collaborate with other stakeholders in the public sector to facilitate private sector involvement in the development of marketing infrastructure, especially rural market facilities. Farmer organizations will be supported and empowered to play their role in providing market support services.",0.409063482218039,n
359,639,"the countrys agricultural resource base will be increased and improved through developing diversified, demand driven crop varieties; intensively applying appropriate technologies; and expanding use of irrigation systems in agricultural production. to achieve this research extension links will be strengthened to ensure demand driven research and effective application of research technologies on the farm. in addition, the private sector will be encouraged and supported to invest in agricultural production at all levels of the supply chain from farming, research and extension to processing and marketing. strengthening extension services and creating strong links between research and extension are two of the subsectors overriding objectives. effective adoption of technology packages will require a participatory approach to extension. the sector will strengthen its extension service delivery system and encourage private sector participation in the delivery of extension services, and will, in particular, empower farmer organizations and communities to provide these services at the grassroots.",Agriculture Sectoral Development Strategy,12,65,en,"The countrys agricultural resource base will be increased and improved through developing diversified, demand-driven crop varieties; intensively applying appropriate technologies; and expanding use of irrigation systems in agricultural production. To achieve this research-extension links will be strengthened to ensure demand-driven research and effective application of research technologies on the farm. In addition, the private sector will be encouraged and supported to invest in agricultural production at all levels of the supply chain from farming, research and extension to processing and marketing. Strengthening extension services and creating strong links between research and extension are two of the subsectors overriding objectives. Effective adoption of technology packages will require a participatory approach to extension. The sector will strengthen its extension service delivery system and encourage private sector participation in the delivery of extension services, and will, in particular, empower farmer organizations and communities to provide these services at the grassroots.",0.409444539516675,n
362,160,developing and operationalizing internal data management within the subsector and among the agricultural sector ministries and agencies will enhance efficiency in service delivery.,Agriculture Sectoral Development Strategy,12,67,en,Developing and operationalizing internal data management within the subsector and among the agricultural sector ministries and agencies will enhance efficiency in service delivery.,0.400928077413516,n
366,16110,"reduce costs, promote local fertilizer blending and initiate the establishment of a national or regional manufacturing plant. to ensure the bulk fertilizer purchase programme is successfully implemented, the government will facilitate capacity building for farmers and enhance capacity of farmer institutions to purchase and distribute fertilizer efficiently.",Agriculture Sectoral Development Strategy,12,68,en,"Reduce costs, promote local fertilizer blending and initiate the establishment of a national or regional manufacturing plant. To ensure the bulk fertilizer purchase programme is successfully implemented, the government will facilitate capacity building for farmers and enhance capacity of farmer institutions to purchase and distribute fertilizer efficiently.",0.41463860206271796,i
391,247,"this strategy will explore avenues for revitalizing livestock extension services in kenya. in particular, more resources will be committed to increase staffing levels towards the ratio of 1 livestock extension officer to 50 0 farmers in high potential areas, and 1 to 15 0 farmers in low potential areas to improve service delivery.",Agriculture Sectoral Development Strategy,12,72,en,"This strategy will explore avenues for revitalizing livestock extension services in kenya. In particular, more resources will be committed to increase staffing levels towards the ratio of 1 livestock extension officer to 500 farmers in high-potential areas, and 1 to 150 farmers in low-potential areas to improve service delivery.",0.40007329974402,n
408,168,"to improve access to markets, capacity building in the market value chain will be undertaken and infrastructure developed. in particular, organizing livestock producers into marketing groups, developing markets and supporting infrastructure including a livestock marketing information system will be addressed.",Agriculture Sectoral Development Strategy,12,75,en,"To improve access to markets, capacity building in the market value chain will be undertaken and infrastructure developed. In particular, organizing livestock producers into marketing groups, developing markets and supporting infrastructure including a livestock marketing information system will be addressed.",0.417731281714776,i
414,169,with international standards. international and regional markets are more lucrative than local markets and accessing them will increase returns.,Agriculture Sectoral Development Strategy,12,76,en,With international standards. International and regional markets are more lucrative than local markets and accessing them will increase returns.,0.4296698191067821,n
436,734,"the fund will target the semi commercial agribusiness or transitory level actors farmers, traders, processors, traders, agribusiness service providers. for purposes of the fund, semi commercial enterprise is defined as a business enterprise that is producing or offering a product or service for sale and fully for profit and or is at below the desired or optimum level of operation, but at the same time is neither capable of injecting all of the required additional resources  capital from own sources nor has the capacity to acquire required additional resources  capital from commercial sources.",Agriculture Sectoral Development Strategy,12,8,en,"The fund will target the semi-commercial agribusiness or transitory level actors farmers, traders, processors, traders, agribusiness service providers. For purposes of the fund, semi commercial enterprise is defined as a business enterprise that is producing or offering a product or service for sale and fully for profit and or is at below the desired or optimum level of operation, but at the same time is neither capable of injecting all of the required additional resources  capital from own sources nor has the capacity to acquire required additional resources  capital from commercial sources.",0.42418545857463,i
457,452,the cooperative marketing promotion component will focus on  enhancing the marketing capacity of the relevant subsector ministries * strengthening marketing capacity within cooperative societies.,Agriculture Sectoral Development Strategy,12,83,en,The cooperative marketing promotion component will focus on  enhancing the marketing capacity of the relevant subsector ministries * strengthening marketing capacity within cooperative societies.,0.404606882001483,n
458,551,"equally important is the capacity of cooperatives to compete in a global marketing environment. capacity building for members, officials and staff will be enhanced through training and providing technical support, policy guidance, technology transfer and access to marketing information. mainstreaming marketing activities is core to business operations though currently, this function is peripheral. policy direction on cooperative marketing shall be spelt out to guide the cooperative subsector.",Agriculture Sectoral Development Strategy,12,83,en,"Equally important is the capacity of cooperatives to compete in a global marketing environment. Capacity building for members, officials and staff will be enhanced through training and providing technical support, policy guidance, technology transfer and access to marketing information. Mainstreaming marketing activities is core to business operations though currently, this function is peripheral. Policy direction on cooperative marketing shall be spelt out to guide the cooperative subsector.",0.43628054599739596,n
469,453,"the competitiveness of kenyan produce has been undermined by inadequate infrastructure such as poor roads and railways that increase vehicular maintenance costs; high port and road charges and tariffs; and slow and outdated communications systems and infrastructure that impede the flow of market information. kenya is signatory to several trade protocols and agreements the east african community, the inter governmental authority on development igad, the common market for eastern and southern africa , the world trade organization wto, and the european union eu. kenya must take advantage of these opportunities provided by regional and international agreements to attain a certain level of global competitiveness. trade barriers that increase uncertainties and transaction costs will be removed to provide the private sector with the impetus to plan production, processing and marketing for external markets instead of producing solely for subsistence and internal markets.",Agriculture Sectoral Development Strategy,12,85,en,"The competitiveness of kenyan produce has been undermined by inadequate infrastructure such as poor roads and railways that increase vehicular maintenance costs; high port and road charges and tariffs; and slow and outdated communications systems and infrastructure that impede the flow of market information. Kenya is signatory to several trade protocols and agreements the east african community, the inter-governmental authority on development igad, the common market for eastern and southern africa , the world trade organization wto, and the european union eu. Kenya must take advantage of these opportunities provided by regional and international agreements to attain a certain level of global competitiveness. Trade barriers that increase uncertainties and transaction costs will be removed to provide the private sector with the impetus to plan production, processing and marketing for external markets instead of producing solely for subsistence and internal markets.",0.40762247268330104,i
472,825,"opportunities are available to develop networks and partnerships between cooperative societies to reduce internal competition among them. some of the opportunities that will be explored include working with stakeholders to form joint ventures with the private sector, creating new initiatives such as cooperative private partnerships, getting direct investments in identified areas and working with the export processing zone authority to create export processing zones in areas with active cooperative societies.",Agriculture Sectoral Development Strategy,12,85,en,"Opportunities are available to develop networks and partnerships between cooperative societies to reduce internal competition among them. Some of the opportunities that will be explored include working with stakeholders to form joint ventures with the private sector, creating new initiatives such as cooperative private partnerships, getting direct investments in identified areas and working with the export processing zone authority to create export processing zones in areas with active cooperative societies.",0.41191744016075604,i
