label	sentences	class
0	the purpose of the middle level institutions is to provide a link between national and local level implementation of asds, technical support and coordination between ministries and stakeholders. in this connection, the following institutions will be strengthened  the inter ministerial coordination committee icc will be expanded to include all ministries that provide services to the agricultural sector. the icc will be composed of permanent secretaries of the collaborating ministries, and will be responsible for coordinating the planning of the strategy at the agricultural sector level and monitoring its implementation to ensure that its goals are achieved.	n
1	to address these challenges, the government will implement the regional development policy, rationalize and restructure the authorities, and consolidate the regional development acts. emphasis will be on developing resource master plans and implementing integrated development programmes that create social and economic impact in the regions and nationally. more specifically, the following interventions will be implemented  implementing policy and institutional reforms to strengthen regional development planning  developing and conserving river banks, water bodies and catchments areas  developing community support and empowerment programmes  formulating and implementing integrated basin based development programmes.	n
2	lack of a database and information to support regional development is another major constraint. this has contributed to lack of comprehensive planning by stakeholders in the regions. therefore, supporting information and records management in the subsector will provide the necessary data to support development planning and provide investment opportunities.	i
3	to contribute to efforts to reduce poverty and increase income, the subsector will promote integrated community programmes that support empowerment ventures and reduce poverty in rural areas. to achieve this, partnerships, collaboration and linkages with other stakeholders will be forged in the use of devolved funds in rural areas.	i
4	secretariat. its terms of reference will include preparing technical guidelines for implementing the strategy and formulating interventions according to tefl budgetary process and the medium term plan.ascu has established thematic working groups that address key fast track areas of the strategy in consultation with relevant sector players and resource persons.	n
5	the government shall also further reform and streamline agricultural institutions that provide services to farmers such as extension, training, research and regulatory services to ensure that they serve farmers efficiently and cost effectively. we shall also institute policy, legal and regulatory reforms so that individual farmers are encouraged to shift from subsistence to market oriented production, and to adopt greater use of modern farming practices while increasing integration of agriculture with other sectors in the national economy.	n
6	the government has taken bold measures to combat corruption, promote good governance and instil a sense of financial discipline and prudent management of the economy. as a result, kenyas relations with development partners have improved dramatically in recent years. this has resulted in a major increase in external assistance, which has had a positive impact on the inflow of foreign investment and the delivery of services by the government.	n
7	energy is one of the infrastructural enablers for agricultural growth. the level and intensity of commercial energy use in the agricultural sector is a key indicator of the degree of economic growth and development. to improve the energy supply, the agricultural sector ministries, in collaboration with the rural electrification authority, will develop a comprehensive rural electrification master plan to enhance agro industry.	n
8	the youth will be sensitized on lucrative ventures in the agricultural sector, and processing plants for value addition will be established in rural areas to provide employment opportunities for the youth and to allow them to produce agricultural raw materials. linkages between the ministry of youth and sports and the agricultural sector will be established to offer incentives to the youth in farming either through the youth enterprise development fund, constituency development fund or the innovation fund for agriculture and agribusiness.	i
9	much of the current planning is as a result of years of centralized planning, which has been supported by the systems for accessing external support, mainly through the government ministries. the top down system is supported by human resources and other institutional arrangements.	n
10	an innovative feature of the strategy is its implementation through local authorities and district development committees where district development plans are formulated; district agricultural development plans will be a component of district development plans. agricultural development at the district level will be incorporated into the overall development plans of the district. an important and new role for the lead agricultural sector ministries will be to ensure that local authorities appreciate the importance of a strong and vibrant agricultural sector within their districts, and give it priority in planning and in allocation of funds. local authorities will allocate a proportion of locally generated funds for agricultural development and thus qualify for grants to supplement their efforts to develop the agricultural sector. other sources of funds like the cf will be channelled to activities that give priority to agricultural development.	i
11	implementing outcome agricultural sector strategic agencies growth result areas 1. crop land development subsector sector ministries, private sector organizations institutions, development partners, ministry of planning and national development, ag chambers, ministry of finance, and parliament.	n
12	the strategic thrust of increasing the productivity, commercialization and competitiveness of agricultural commodities will enable the sector to export more outputs, earn the country foreign exchange, and create employment. with the responsibilities of the agricultural sector currently spread across 1 0 ministries and the need for partnerships with several other ministries and stakeholders, implementation of asds will require strong partnerships among the government, private sector, development partners and other non state actors. a sector wide approach and strong coordination mechanisms will be instrumental in the success of the strategy.	n
13	currently, the responsibilities for agricultural development are spread across the sector ministries. other ministries responsible for roads, local authorities, administration, health, education, trade and industry, and finance support the functions of the agricultural sector ministries. key stakeholders will implement the agriculture sector development strategy asds in a sector wide approach in which sector ministries, the private sector and development partners will each have distinct roles to play coordinated by the the asds will be implemented through the established structure of government ministries that go to the district, division and location level. each sector ministry will work out the activities under its dockets and make elaborate financing plans in the medium term plans, which will be funded by the government of kenya, development partners and the private sector. implementation will be carried out through the medium term expenditure framework tefl of financial allocation by treasury. the expenditure frameworks and the medium term plans will be harmonized with the respective development documents currently being implemented by the planning and finance ministries to align them with vision 203 0 and other government development plans.	i
14	the government also established and supported many agricultural institutions such as farmer cooperatives and those for agricultural inputs, marketing, credit and agroprocessing. budgetary allocation to the agricultural sector during this period was at an average of 1 3 per cent of the national budget.	i
15	reviving agricultural institutions. one of the pledges of the narc government was to revive all public institutions that provide services to citizens. within the agricultural sector, this has been a success story. institutions that were on the verge of collapse and have since been revived are the kenya meat commission, the kenya cooperative creameries kcc, the kenya seed company, the agricultural finance corporation, and the agricultural development corporation. institutions that were considered moribund and dysfunctional, such as research and extension services with their subcentres, training centres and tractor hire are now vibrant and providing services to farmers. even institutions that were running into losses, such as the sugar factories, have been revived, are reporting profits and are on the verge of being privatized.	n
16	the ascu mandate is to facilitate and add value to the reform process and to coordinate the efforts of sector ministries and other stakeholders towards implementing the asds vision.	n
17	ascu will link the sector players and provide an enabling environment for sector wide consultations along the various levels of implementation, from the division to district to national level. ascu will not be involved in the actual implementation of the strategy. however, it shall coordinate budgeting within the sector, and participate in the review of subsector strategic and annual work plans to ensure they conform to asds, vision 203 0, the megs and other government development agenda.drive reforms in the sector and fast track implementation of the asds in a coordinated manner across sector ministries and other partners  be the referral centre for reforms, and collect, analyse and disseminate information on agricultural reforms   influence sector resource allocation to areas of highest impact  initiate major studies and policy developments within the agricultural sector  be accent for capacity building for all stakeholders involved or affected by the agricultural reform process * monitor implementation of asds activities.	n
18	medium scale farms range from 3 to 4 9 ha. farmers in this category are receptive to technology and practise commercial agriculture by investing in inputs, marketing produce and borrowing credit for farm development.	i
19	the cooperative movement has played an important role in agricultural development and in the economy. agricultural cooperatives have helped in procurement of inputs, production, value addition and marketing. in the financial sector the cooperative movement through savings and credit cooperatives sac cos has helped mobilize savings and provide credit to producers.	i
20	to contribute significantly to the development and growth of the agricultural sector, the role of the private sector in providing physical and social infrastructure, production, processing, input and output marketing, imports and exports, providing financial services and goods and services will need to be clearly defined. to facilitate effective participation, appropriate reforms in the legal and regulatory framework shall be instituted.	i
21	bilateral and multilateral donors have for many years financed kenyas agricultural budget. with the countrys increased financial capacity, the role of development partners has been reduced and governments own resources are now financing over 9 0 per cent of the agricultural budget. however, development partners continue to play an important role, particularly in spearheading new initiatives and carrying out pilot projects.	n
22	access to bank credit by farmers is still a major challenge despite the fact that kenya has a relatively well developed banking system. risks associated with agribusiness coupled with complicated land laws and tenure systems that limit the use of land as collateral make financing agriculture unattractive to the formal banking industry. in addition, corruption, political interference in the operations particularly of state owned banks, and a dysfunctional court system in the past, gave rise to a culture of defaulting that led to high numbers of non performing loans. this development forced many banks to charge their customers, who included farmers, prohibitively high interest rates to remain afloat. limited competition in the banking industry despite the large number of banks, also ensures interest rates remain high. the cost of bank credit and the limited number of banks in rural areas are some of the factors that make it difficult for farmers to access bank credit.	d
23	after independence, the government set up the agricultural finance corporation to provide long term credit to individuals and groups to purchase farms and to finance farm improvement, as well as seasonal credit for production. by providing suppliers with credit, cooperative societies also supported farmers. these organizations have been mismanaged and run down and are no longer important sources of finance for agriculture. indeed, a large number almost collapsed. today, farmers get credit mainly from cooperatives, ngos and community based lending institutions.	d
24	inadequate budgetary allocation. insufficient budgetary allocation to the agricultural sector is a key constraint. in 200 3 under the maputo declaration, african heads of state committed to allocate 1 0 per cent of their annual budgets to the agricultural sector. kenya has not yet achieved this target; by 200 8, the sector was receiving 4.5 per cent of the budget. this insufficient allocation has reduced human resources and service delivery by government institutions. reduced effectiveness of extension services. the effectiveness of extension services declined over the last two decades due to use of inappropriate methods and a sharp reduction in operational budgets and human resources in the sector ministries. in particular, livestock extension in asals has been underfinanced. while much has been achieved in the last 5 years, inadequate financial and human resources continue to constrain the sector.	d
25	are hard pressed to finance inputs and capital investment. a number of microfinance institutions are operating but they tend to increase the cost of credit, reach only a small proportion of smallholder farmers, and provide only short term credit. the formal banking system is just beginning to develop credit facilities particularly suited to smallscale farming.	d
26	 enhancing farmer access to affordable inputs and creditenhancing institutional efficiency and effectiveness in implementation and service delivery the current policy environment is not supportive of private sector led agricultural development. multiple and complex laws and regulations have evolved in the agricultural sector, which do not allow for investment in a liberalized economic environment. appropriate policies should provide for the changed role of government as a facilitator and regulator of agricultural activities.	d
27	the subsector will emphasize collecting, collating and disseminating information on domestic and international markets. the information will be disseminated to producers, exporters and service providers. global information networks will be developed through subscriptions to trade information systems and close collaboration with kenyas diplomatic service. to support an effective marketing strategy, the agriculture subsector will collaborate with other stakeholders in the public sector to facilitate private sector involvement in the development of marketing infrastructure, especially rural market facilities. farmer organizations will be supported and empowered to play their role in providing market support services.	n
28	kenya is a member of the world trade organization. this multilateral trade system aims to expand markets through liberalizing global trade. the agriculture sector will be a key player in multilateral and bilateral trade negotiations with the objectives of expanding and diversifying agricultural products and markets. regional markets, especially the  block, are now the major destination for kenyas exports. the subsector will collaborate with other relevant sectors and subsectors to promote economic cooperation and regional integration as a strategy for expanding local markets.	n
29	appropriate credit packages for small scale producers will be developed to facilitate access to key inputs. the subsector will enhance value addition technologies through building capacity of stakeholders, and providing material and financial support. these strategies are aimed at shifting the sector from subsistence agriculture to farming as a business.	i
30	producers. in collaboration with other stakeholders, the subsector will also support mobilization of financial resources through sac cos and other community based lending organizations to accelerate agricultural development.	i
31	the countrys agricultural resource base will be increased and improved through developing diversified, demand driven crop varieties; intensively applying appropriate technologies; and expanding use of irrigation systems in agricultural production. to achieve this research extension links will be strengthened to ensure demand driven research and effective application of research technologies on the farm. in addition, the private sector will be encouraged and supported to invest in agricultural production at all levels of the supply chain from farming, research and extension to processing and marketing. strengthening extension services and creating strong links between research and extension are two of the subsectors overriding objectives. effective adoption of technology packages will require a participatory approach to extension. the sector will strengthen its extension service delivery system and encourage private sector participation in the delivery of extension services, and will, in particular, empower farmer organizations and communities to provide these services at the grassroots.	n
32	the sector will also improve and strengthen support services to include access to appropriate and affordable credit, to production and market related information and to appropriate technologies, and improve its institutions such as agricultural training colleges, rural training development centres and agricultural training centres. the sector will work with the private sector and other agricultural sector ministries and agencies to make these support services available to farmers and service providers.	i
33	developing and operationalizing internal data management within the subsector and among the agricultural sector ministries and agencies will enhance efficiency in service delivery.	n
34	to increase agricultural productivity and improve farming as a business, farmers need access to inputs and credit. appropriate credit packages suitable for small scale producers will be made available to enable producers access key inputs such as fertilizer, agrochemicals and seed. farmers need capital investment for irrigation infrastructure, value addition technologies and general farm development, and to comply with food safety regulations.	i
35	reduce costs, promote local fertilizer blending and initiate the establishment of a national or regional manufacturing plant. to ensure the bulk fertilizer purchase programme is successfully implemented, the government will facilitate capacity building for farmers and enhance capacity of farmer institutions to purchase and distribute fertilizer efficiently.	i
36	this strategy will explore avenues for revitalizing livestock extension services in kenya. in particular, more resources will be committed to increase staffing levels towards the ratio of 1 livestock extension officer to 50 0 farmers in high potential areas, and 1 to 15 0 farmers in low potential areas to improve service delivery.	n
37	to improve access to markets, capacity building in the market value chain will be undertaken and infrastructure developed. in particular, organizing livestock producers into marketing groups, developing markets and supporting infrastructure including a livestock marketing information system will be addressed.	n
38	with international standards. international and regional markets are more lucrative than local markets and accessing them will increase returns.	n
39	an essential component of the asds is to enhance the capacity of the private and public sectors in agriculture through supporting innovative private sector activities or public private partnerships that promote market driven production, processing and marketing initiatives. this support will be actualized through the establishment of an innovation fund for agriculture and agribusiness ifaa. the objective of the fund will be to foster ass central objective of commercializing agriculture by catalyzing private sector participation in market oriented production and service delivery, promoting productivity and profitability or commercial viability of sector activities at all levels of the wider agricultural sector value chains.	i
40	the fund will target the semi commercial agribusiness or transitory level actors farmers, traders, processors, traders, agribusiness service providers. for purposes of the fund, semi commercial enterprise is defined as a business enterprise that is producing or offering a product or service for sale and fully for profit and or is at below the desired or optimum level of operation, but at the same time is neither capable of injecting all of the required additional resources  capital from own sources nor has the capacity to acquire required additional resources  capital from commercial sources.	i
41	cooperatives will be revitalized and their capacities strengthened to make them competitive. this will involve providing education and training, improving governance and management, enforcing legal provisions, adopting prudential standards, developing appropriate marketing strategies and operationalizing the regulatory framework for saccos. cooperatives will pursue business models that embrace innovation and modern technology transfer, and will adopt information and communication technology in their operations.	n
42	the cooperative subsector will implement the following interventions  reviewing cooperative development policy and legal framework  improving capacity for marketing agricultural inputs and produce  enhancing access to agricultural credit  promoting value addition  promoting internal and external trade  improving governance and management.	n
43	the cooperative marketing promotion component will focus on  enhancing the marketing capacity of the relevant subsector ministries * strengthening marketing capacity within cooperative societies.	n
44	equally important is the capacity of cooperatives to compete in a global marketing environment. capacity building for members, officials and staff will be enhanced through training and providing technical support, policy guidance, technology transfer and access to marketing information. mainstreaming marketing activities is core to business operations though currently, this function is peripheral. policy direction on cooperative marketing shall be spelt out to guide the cooperative subsector.	n
45	the main focus of sac cos is 1 to offer affordable financial services on a cost effective basis in order to cover a large number of cooperative members, 2 to provide an alternative system of securing credit. government should intervene to create a better environment for banks and the mainstream financial institutions to develop products that address farmers needs.	i
46	the competitiveness of kenyan produce has been undermined by inadequate infrastructure such as poor roads and railways that increase vehicular maintenance costs; high port and road charges and tariffs; and slow and outdated communications systems and infrastructure that impede the flow of market information. kenya is signatory to several trade protocols and agreements the east african community, the inter governmental authority on development igad, the common market for eastern and southern africa , the world trade organization wto, and the european union eu. kenya must take advantage of these opportunities provided by regional and international agreements to attain a certain level of global competitiveness. trade barriers that increase uncertainties and transaction costs will be removed to provide the private sector with the impetus to plan production, processing and marketing for external markets instead of producing solely for subsistence and internal markets.	n
47	opportunities are available to develop networks and partnerships between cooperative societies to reduce internal competition among them. some of the opportunities that will be explored include working with stakeholders to form joint ventures with the private sector, creating new initiatives such as cooperative private partnerships, getting direct investments in identified areas and working with the export processing zone authority to create export processing zones in areas with active cooperative societies.	n
