,Unnamed: 0,sentences,name,country,page,languages,legible,results,class
1,13,"provided that the species of trees or varieties planted shall not have adverse effects on water sources, crops, livestock, soil fertility and the neighbourhood and should not be of invasive nature.",Agriculture Rules,12,2,en,"Provided that the species of trees or varieties planted shall not have adverse effects on water sources, crops, livestock, soil fertility and the neighbourhood and should not be of invasive nature.",0.0658102174455784,n
2,14,2 no agricultural landowner or occupier shall grow or maintain any eucalyptus species in wetlands and riparian areas.,Agriculture Rules,12,2,en,2 no agricultural landowner or occupier shall grow or maintain any eucalyptus species in wetlands and riparian areas.,0.0918502919491315,n
3,1,for the purpose of ascertaining whether the farm owner or occupier has complied with 1 0 per cent farm forestry or nursery requirement.,Agriculture Rules,12,3,en,For the purpose of ascertaining whether the farm owner or occupier has complied with 10 per cent farm forestry or nursery requirement.,0.106207362075106,n
7,5,5 a person who obstructs or hinders an inspector in the exercise of his duties under these rules shall be guilty of an offence.,Agriculture Rules,12,4,en,5 a person who obstructs or hinders an inspector in the exercise of his duties under these rules shall be guilty of an offence.,0.132788045746294,n
29,10,1 3. general penalty 1 a person who contravenes any of the provisions of these rules commits an offence.,Agriculture Rules,12,6,en,13. General penalty 1 a person who contravenes any of the provisions of these rules commits an offence.,0.144082313272892,n
30,11,2 a person who commits an offence for which no specific penalty has been provided shall be liable upon conviction to a fine of six thousand shillings or imprisonment for six months or both.,Agriculture Rules,12,6,en,2 a person who commits an offence for which no specific penalty has been provided shall be liable upon conviction to a fine of six thousand shillings or imprisonment for six months or both.,0.10602528825737,d
40,1428,and harmonizing sanitary measures with neighbouring countries. appropriate strategies will also be developed for conserving the environment in asals. keeping of camels and other non traditional livestock such as ostrich and wildlife through game ranching and sanctuary management will also be promoted.,Agriculture Sectoral Development Strategy,12,100,en,And harmonizing sanitary measures with neighbouring countries. Appropriate strategies will also be developed for conserving the environment in asals. Keeping of camels and other non-traditional livestock such as ostrich and wildlife through game ranching and sanctuary management will also be promoted.,0.139748858789938,n
42,457,"rainfed production will be encouraged for emerging high value, drought tolerant crops such as jatropha, melia, indigenous fruits, medicinal species, gum arabic and resins. in addition, research in and adoption of drought tolerant crop varieties such as cotton, sisal, sorghum, millet and pigeon peas will be promoted.",Agriculture Sectoral Development Strategy,12,100,en,"Rainfed production will be encouraged for emerging high-value, drought-tolerant crops such as jatropha, melia, indigenous fruits, medicinal species, gum arabic and resins. In addition, research in and adoption of drought-tolerant crop varieties such as cotton, sisal, sorghum, millet and pigeon peas will be promoted.",0.0835865605595276,n
46,3210,"kenyas various habitats and ecosystemsforests, grasslands, wetlands, coral reefs and mangroves are biodiversity hotspots. most of the countrys biodiversity is also found within protected areas, which make up these habitats and ecosystems.",Agriculture Sectoral Development Strategy,12,101,en,"Kenyas various habitats and ecosystemsforests, grasslands, wetlands, coral reefs and mangroves are biodiversity hotspots. Most of the countrys biodiversity is also found within protected areas, which make up these habitats and ecosystems.",0.0703993151839561,n
47,5110,"the country is home to over 650 0 plant species; 26 0 are found nowhere else in the world. with more than 100 0 bird species and over 35 0 mammal species, kenya ranks second highest among african countries in species richness for these animal groups. over time, the country has lost some of her well known biodiversity resources mainly due to population increase, habitat destruction, desertification, over exploitation of species, and conversion through deforestation and drainage of wetlands for agriculture and settlement. .",Agriculture Sectoral Development Strategy,12,101,en,"The country is home to over 6500 plant species; 260 are found nowhere else in the world. With more than 1000 bird species and over 350 mammal species, kenya ranks second highest among african countries in species richness for these animal groups. Over time, the country has lost some of her well-known biodiversity resources mainly due to population increase, habitat destruction, desertification, over-exploitation of species, and conversion through deforestation and drainage of wetlands for agriculture and settlement. .",0.103142811691521,n
49,839,"agricultural wastes can be in the form of liquids, slurries or solids. the major components of these wastes are biodegradable. however, they also contain components such as nitrogen, human and animal pathogens, medicinals, feed additives, salts, and certain metals that under uncontrolled conditions are harmful to aquatic, plant, animal, or human life. in rural areas, the most common method of disposing of these wastes is by applying them to the land. hazards to humans occur either directly via water or indirectly via crops and animals fed or grazing on the crops. use of these wastes as animal feed can also be a pathway.",Agriculture Sectoral Development Strategy,12,101,en,"Agricultural wastes can be in the form of liquids, slurries or solids. The major components of these wastes are biodegradable. However, they also contain components such as nitrogen, human and animal pathogens, medicinals, feed additives, salts, and certain metals that under uncontrolled conditions are harmful to aquatic, plant, animal, or human life. In rural areas, the most common method of disposing of these wastes is by applying them to the land. Hazards to humans occur either directly via water or indirectly via crops and animals fed or grazing on the crops. Use of these wastes as animal feed can also be a pathway.",0.0882764623334626,n
50,1620,"has been found that sometimes the by products could be more valuable than the main products. while in kenya no major crises have been associated with hazardous materials in agricultural solid wastes, the potential for problems should not be underestimated. discharge of agricultural and industrial chemicals into water bodies or disposing of them on land masses is killing ecosystems. the use of mercury to form amalgam during gold processing around lake victoria is gradually polluting the various rivers flowing into the lake with mercury, as is evidenced by the accumulation of the mineral in fish.",Agriculture Sectoral Development Strategy,12,102,en,"Has been found that sometimes the by-products could be more valuable than the main products. While in kenya no major crises have been associated with hazardous materials in agricultural solid wastes, the potential for problems should not be underestimated. Discharge of agricultural and industrial chemicals into water bodies or disposing of them on land masses is killing ecosystems. The use of mercury to form amalgam during gold processing around lake victoria is gradually polluting the various rivers flowing into the lake with mercury, as is evidenced by the accumulation of the mineral in fish.",0.14305950781966598,n
51,2312,"pesticide use in urban and peri urban production of crops and animals carries serious risks. these households make regular use of highly toxic pesticides not necessarily related to pest type or pest pressure, often near densely populated areas. urban households are also vulnerable to other contaminants. farmers take advantage of the nutrients in urban and peri urban wetlands, sewage disposal areas and dumpsites to plant food crops. these areas contain heavy metals and pathogens, and the air around is generally heavily polluted.",Agriculture Sectoral Development Strategy,12,102,en,"Pesticide use in urban and peri-urban production of crops and animals carries serious risks. These households make regular use of highly toxic pesticides not necessarily related to pest type or pest pressure, often near densely populated areas. Urban households are also vulnerable to other contaminants. Farmers take advantage of the nutrients in urban and peri-urban wetlands, sewage disposal areas and dumpsites to plant food crops. These areas contain heavy metals and pathogens, and the air around is generally heavily polluted.",0.113743473186701,n
67,112,"arising from the economic exploitation of resources in the regions, and low levels of development in various regions resulting in high incidence of poverty.",Agriculture Sectoral Development Strategy,12,106,en,"Arising from the economic exploitation of resources in the regions, and low levels of development in various regions resulting in high incidence of poverty.",0.128401480043493,n
85,25,"while most wildlife is concentrated in protected areas, there is a considerable population in areas surrounding farmlands and ranches. wildlife play a key role in the national economy through tourism. however, game in farmland and ranches is seen as a menace resulting in conflict between wildlife and humans. there is significant potential to exploit these resources through game ranches and conservation areas and to rear some special wild animals such as ostriches and crocodiles.",Agriculture Sectoral Development Strategy,12,109,en,"While most wildlife is concentrated in protected areas, there is a considerable population in areas surrounding farmlands and ranches. Wildlife play a key role in the national economy through tourism. However, game in farmland and ranches is seen as a menace resulting in conflict between wildlife and humans. There is significant potential to exploit these resources through game ranches and conservation areas and to rear some special wild animals such as ostriches and crocodiles.",0.130410499061962,n
100,118,"to encompass ecosystem processes on which wildlife populations depend. an increase in wildlife populations can result in pressure that degrades park ecosystems. limited park sizes and confined wildlife populations are inimical to the survival of species at the edges of protected areas, especially where land use in the adjacent areas is incompatible with conservation.",Agriculture Sectoral Development Strategy,12,111,en,"To encompass ecosystem processes on which wildlife populations depend. An increase in wildlife populations can result in pressure that degrades park ecosystems. Limited park sizes and confined wildlife populations are inimical to the survival of species at the edges of protected areas, especially where land use in the adjacent areas is incompatible with conservation.",0.10216462901574601,n
127,411,"human health is important as it affects the labour force involved in agricultural activities. the most devastating impact of human health on agriculture is epidemics and pandemics such as malaria, hiv and aids and zoonoses.",Agriculture Sectoral Development Strategy,12,117,en,"Human health is important as it affects the labour force involved in agricultural activities. The most devastating impact of human health on agriculture is epidemics and pandemics such as malaria, hiv and aids and zoonoses.",0.13562470240477803,n
207,140,"productivity. productivity levels for many crops are below potential and for some agricultural produce yield and value over a 5 year period have either remained constant or are on the decline. similarly, the production level for most fish and livestock products is below potential. forest cover and tree productivity have been on the decline while population growth has led to increased human wildlife conflict.",Agriculture Sectoral Development Strategy,12,37,en,"Productivity. Productivity levels for many crops are below potential and for some agricultural produce yield and value over a 5-year period have either remained constant or are on the decline. Similarly, the production level for most fish and livestock products is below potential. Forest cover and tree productivity have been on the decline while population growth has led to increased human wildlife conflict.",0.141092208815276,n
221,1431,"cent of the countrys population. most of the food and cash crops as well as livestock are produced in this zone under semi intensive and intensive systems. the zone accounts for all the tea, pyrethrum, potato, coffee, vegetables and nearly 7 5 per cent of milk production.",Agriculture Sectoral Development Strategy,12,40,en,"Cent of the countrys population. Most of the food and cash crops as well as livestock are produced in this zone under semi-intensive and intensive systems. The zone accounts for all the tea, pyrethrum, potato, coffee, vegetables and nearly 75 per cent of milk production.",0.13381941870474198,n
222,227,the medium rainfall zone receives between 75 0 mm and 100 0 mm of rainfall annually and occupies between 3 0 and 3 5 per cent of the countrys land area. it is home to about 3 0 per cent of the population. farmers keep cattle and small stock and grow drought tolerant crops. there is significant migration of the population from the densely populated high rainfall zone to the medium rainfall zone.,Agriculture Sectoral Development Strategy,12,40,en,The medium-rainfall zone receives between 750 MM and 1000 MM of rainfall annually and occupies between 30 and 35 per cent of the countrys land area. It is home to about 30 per cent of the population. Farmers keep cattle and small stock and grow drought tolerant crops. There is significant migration of the population from the densely populated high-rainfall zone to the medium-rainfall zone.,0.13696651201165,n
223,324,"low rainfall areas receive 20 0 75 0 mm of rainfall annually. these areas are home to about 2 0 per cent of the population, 8 0 per cent of the countrys livestock and 6 5 per cent of the wildlife.",Agriculture Sectoral Development Strategy,12,40,en,"Low-rainfall areas receive 200-750 MM of rainfall annually. These areas are home to about 20 per cent of the population, 80 per cent of the countrys livestock and 65 per cent of the wildlife.",0.142915731084728,n
225,711,kenya has two agricultural production systems rain fed and irrigated agriculture.,Agriculture Sectoral Development Strategy,12,40,en,Kenya has two agricultural production systems rain-fed and irrigated agriculture.,0.130047743909362,n
226,99,kenyas agriculture is mainly rainfed and is entirely dependent on the bimodal rainfall in most of the country. there are two cropping seasons except in the very high altitude areas.,Agriculture Sectoral Development Strategy,12,40,en,Kenyas agriculture is mainly rainfed and is entirely dependent on the bimodal rainfall in most of the country. There are two cropping seasons except in the very high-altitude areas.,0.0628935763459726,n
228,144,"suitable. however, there is a relatively high risk of crop failure due to increased frequency of dry spells and an uneven rainfall distribution. increasing productivity in these areas will require better selection of crops, adoption of improved technologies, and better crop husbandry.",Agriculture Sectoral Development Strategy,12,41,en,"Suitable. However, there is a relatively high risk of crop failure due to increased frequency of dry spells and an uneven rainfall distribution. Increasing productivity in these areas will require better selection of crops, adoption of improved technologies, and better crop husbandry.",0.12186218415547198,n
237,910,crop production is in two categories based on the use of the harvested produce food crops and cash  industrial crops.,Agriculture Sectoral Development Strategy,12,42,en,Crop production is in two categories based on the use of the harvested produce food crops and cash  industrial crops.,0.116271795165766,n
238,146,"53 1,80 0 tonnes, while roots and tubers increased from 1.1 million tonnes to 1.8 million tonnes over the same period. however, the production of other food crops, particularly legumes and root crops, declined due to a combination of factors such as the effects of heavy rains, pests and diseases, and lack of quality planting material.",Agriculture Sectoral Development Strategy,12,43,en,"531,800 tonnes, while roots and tubers increased from 1.1 million tonnes to 1.8 million tonnes over the same period. However, the production of other food crops, particularly legumes and root crops, declined due to a combination of factors such as the effects of heavy rains, pests and diseases, and lack of quality planting material.",0.102298908423155,n
240,325,"the main industrial crops are tea, coffee, sugar cane, cotton, sunflower, pyrethrum, barley, tobacco, sisal, coconut and bixa, all of which contribute 5 5 per cent of agricultural exports.",Agriculture Sectoral Development Strategy,12,43,en,"The main industrial crops are tea, coffee, sugar cane, cotton, sunflower, pyrethrum, barley, tobacco, sisal, coconut and bixa, all of which contribute 55 per cent of agricultural exports.",0.0440141768216982,n
241,521,"declines were recorded in several crops. pyre thrum recorded an average decline of 1 3 per cent. sugar cane is a major cash crop whose performance declined. kenya produces about 40 0,00 0 tonnes of raw sugar annually while annual consumption is 60 0,00 0 tonnes, which necessitates importation to meet the demand. the main producers of sugar cane are smallholder farmers in nyanza, western and rift valley provinces. local sugar cannot compete with imported sugar because of high production costs. this poses a major threat to the local sugar industry and the five million people that it supports.",Agriculture Sectoral Development Strategy,12,43,en,"Declines were recorded in several crops. Pyre thrum recorded an average decline of 13 per cent. Sugar cane is a major cash crop whose performance declined. Kenya produces about 400,000 tonnes of raw sugar annually while annual consumption is 600,000 tonnes, which necessitates importation to meet the demand. The main producers of sugar cane are smallholder farmers in nyanza, western and rift valley provinces. Local sugar cannot compete with imported sugar because of high production costs. This poses a major threat to the local sugar industry and the five million people that it supports.",0.13901114774663,n
242,624,"other commercial crops whose production has remained low despite large unexploited potential are cotton, pyrethrum, oil crops, cashewnut, bia and sisal.",Agriculture Sectoral Development Strategy,12,43,en,"Other commercial crops whose production has remained low despite large unexploited potential are cotton, pyrethrum, oil crops, cashewnut, bia and sisal.",0.0900165300543742,n
246,426,"the key livestock subsectors are beef, dairy, sheep, goats, camel, poultry, piggery and emerging livestock.",Agriculture Sectoral Development Strategy,12,45,en,"The key livestock subsectors are beef, dairy, sheep, goats, camel, poultry, piggery and emerging livestock.",0.12191473655321301,n
248,625,"the beef cattle population is estimated at 9 million. the main beef species are east african zebu, boran, wallahs and cross breeds. although most beef is produced from rangelands, dairy cattle culls contribute substantially to the national supply. on average, the country produces 32 0,00 0 tonnes annually of beef worth kes 6 2.1 billion. however, beef production is affected by climate variability and animal diseases.",Agriculture Sectoral Development Strategy,12,45,en,"The beef cattle population is estimated at 9 million. The main beef species are east african zebu, boran, wallahs and cross-breeds. Although most beef is produced from rangelands, dairy cattle culls contribute substantially to the national supply. On average, the country produces 320,000 tonnes annually of beef worth kes 62.1 billion. However, beef production is affected by climate variability and animal diseases.",0.117993297961166,n
249,713,"sheep and goats play a key role in pastoral households food security and incomes owing to their short generation intervals, high adaptability and versatile feeding habits. the country has an estimated 1 3 million goats and 1 0 million sheep. annual meat production is estimated at 8 4,00 0 tonnes of mutton and chevron worth kes 1 4 billion.",Agriculture Sectoral Development Strategy,12,45,en,"Sheep and goats play a key role in pastoral households food security and incomes owing to their short-generation intervals, high adaptability and versatile feeding habits. The country has an estimated 13 million goats and 10 million sheep. Annual meat production is estimated at 84,000 tonnes of mutton and chevron worth kes 14 billion.",0.143694901846215,n
292,239,"feed production is negatively affected by both good harvests and famine situations. during good harvests, excess maize is exported unprocessed denying the industry the by products that are used for producing animal feeds. when there is a shortage in maize supply, famine relief is distributed directly to consumers denying the animal feeds industry the by products that would have been supplied by millers. like other inputs, availability of animal feeds is constrained by the cost and density of stockists.",Agriculture Sectoral Development Strategy,12,53,en,"Feed production is negatively affected by both good harvests and famine situations. During good harvests, excess maize is exported unprocessed denying the industry the by-products that are used for producing animal feeds. When there is a shortage in maize supply, famine relief is distributed directly to consumers denying the animal feeds industry the by-products that would have been supplied by millers. Like other inputs, availability of animal feeds is constrained by the cost and density of stockists.",0.127138583687646,n
295,153,have resulted in up to 4 0 per cent of post harvest losses. post harvest disease pathogens like aflatoxins have been reported with catastrophic effect sin some cases deaths among consumers in parts of the country.,Agriculture Sectoral Development Strategy,12,54,en,Have resulted in up to 40 per cent of post-harvest losses. Post-harvest disease pathogens like aflatoxins have been reported with catastrophic effect sin some cases deaths among consumers in parts of the country.,0.108106619524363,n
297,434,"diseases that threaten the health of fish include fungal and bacterial infections. symptoms of fungal diseases include cotton like growths on skin, mouth, eggs and barbels, which result in heavy loss of eggs and fry caused by poor handling. control may include adding a few milligrams of malachite green to the pond or enclosed water.",Agriculture Sectoral Development Strategy,12,54,en,"Diseases that threaten the health of fish include fungal and bacterial infections. Symptoms of fungal diseases include cotton-like growths on skin, mouth, eggs and barbels, which result in heavy loss of eggs and fry caused by poor handling. Control may include adding a few milligrams of malachite green to the pond or enclosed water.",0.0411633837950227,n
298,531,"bacterial diseases result from parasitism, poor water quality and poor nutrition. they lead to loss of appetite and white spots around the mouths and fins, and fish exhibit a waddled or nervous swim pattern at or near the surface.",Agriculture Sectoral Development Strategy,12,54,en,"Bacterial diseases result from parasitism, poor water quality and poor nutrition. They lead to loss of appetite and white spots around the mouths and fins, and fish exhibit a waddled or nervous swim pattern at or near the surface.",0.11595523067708399,n
299,630,"other health threats to fish are ectoparasites such as leeches, and endoparasites. while small numbers of parasites do little harm in most cases, in large numbers they can seriously compromise the health of fish. control and prevention of these pests and diseases are also the concern of the government.",Agriculture Sectoral Development Strategy,12,54,en,"Other health threats to fish are ectoparasites such as leeches, and endoparasites. While small numbers of parasites do little harm in most cases, in large numbers they can seriously compromise the health of fish. Control and prevention of these pests and diseases are also the concern of the government.",0.0822956521034672,n
310,334,"heavy livestock losses to diseases and pests. livestock diseases and pests affect animal production and marketing and pose a threat to human health. specifically, they cause heavy losses through deaths, reduced productivity and loss of markets for products. the prevalence of transboundary diseases such as foot and mouth, chronic bovine pleuropneumonia, lumpy skin disease, trypanosomiasis, east coast fever, brucellosis, petites eds pests ruminants ppr, contagious caprice pleuropneumonia, rabies, newcastle disease, and gumbo disease continue to be a challenge. emerging and reemerging diseases that are also zoonotic like rift valley fever, avian flu and bovine tb need sustained surveillance.",Agriculture Sectoral Development Strategy,12,57,en,"Heavy livestock losses to diseases and pests. Livestock diseases and pests affect animal production and marketing and pose a threat to human health. Specifically, they cause heavy losses through deaths, reduced productivity and loss of markets for products. The prevalence of transboundary diseases such as foot and mouth, chronic bovine pleuropneumonia, lumpy skin disease, trypanosomiasis, east coast fever, brucellosis, petites eds pests ruminants ppr, contagious caprice pleuropneumonia, rabies, newcastle disease, and gumbo disease continue to be a challenge. Emerging and reemerging diseases that are also zoonotic like rift valley fever, avian flu and bovine tb need sustained surveillance.",0.0815505120402701,n
