"","sentences","name","country","page","languages","legible","results"
"4","7. the separate status, function and duty of the executive initiation of general legislation the executive shall be responsible for the initiation of policies and legislation and for the implementation of all laws which embody the express wishes of the people of malawi and which promote the principles of this constitution.","Constituion","Constituion","10","en","7. The separate status, function and duty of the executive initiation of general legislation the executive shall be responsible for the initiation of policies and legislation and for the implementation of all laws which embody the express wishes of the people of malawi and which promote the principles of this constitution.",0.193530231945862
"6","the legislature shall be responsible for the enactment of laws and shall ensure that its deliberations reflect the interests of all the people of malawi and that the values expressed or implied in this constitution are furthered by the laws enacted.","Constituion","Constituion","10","en","The legislature shall be responsible for the enactment of laws and shall ensure that its deliberations reflect the interests of all the people of malawi and that the values expressed or implied in this constitution are furthered by the laws enacted.",0.194353592867274
"8","the judiciary shall have the responsibility of interpreting, protecting and enforcing this constitution and all laws and in accordance with this constitution in an independent and impartial manner with regard only to legally relevant facts and the prescriptions of law.","Constituion","Constituion","10","en","The judiciary shall have the responsibility of interpreting, protecting and enforcing this constitution and all laws and in accordance with this constitution in an independent and impartial manner with regard only to legally relevant facts and the prescriptions of law.",0.207970972718198
"11","1. in the interpretation of all laws and in the resolution of political disputes the provisions of this constitution shall be regarded as the supreme arbiter and ultimate source of authority.","Constituion","Constituion","10","en","1. In the interpretation of all laws and in the resolution of political disputes the provisions of this constitution shall be regarded as the supreme arbiter and ultimate source of authority.",0.171301160460621
"12","2. in the application and formulation of any act of parliament and in the application and development of the common law and customary law, the relevant organs of state shall have due regard to the principles and provisions of this constitution.","Constituion","Constituion","10","en","2. In the application and formulation of any act of parliament and in the application and development of the common law and customary law, the relevant organs of state shall have due regard to the principles and provisions of this constitution.",0.223816184736408
"14","1. appropriate principles of interpretation of this constitution shall be developed and employed by the courts to reflect the unique character and supreme status of this constitution.","Constituion","Constituion","10","en","1. Appropriate principles of interpretation of this constitution shall be developed and employed by the courts to reflect the unique character and supreme status of this constitution.",0.133104903431408
"20","3. where a court of law declares an act of executive or a law to be invalid, that court may apply such interpretation of that act or law as is consistent with this constitution.","Constituion","Constituion","10","en","3. Where a court of law declares an act of executive or a law to be invalid, that court may apply such interpretation of that act or law as is consistent with this constitution.",0.163919027344178
"22","4. any law that ousts or purports to oust the jurisdiction of the courts to entertain matters pertaining to this constitution shall be invalid.","Constituion","Constituion","10","en","4. Any law that ousts or purports to oust the jurisdiction of the courts to entertain matters pertaining to this constitution shall be invalid.",0.151242777836373
"3","iii. the implementation of policies to address social issues such as domestic violence, security of the person, lack of maternity benefits, economic exploitation and rights to property.","Constituion","Constituion","12","en","Iii. The implementation of policies to address social issues such as domestic violence, security of the person, lack of maternity benefits, economic exploitation and rights to property.",0.244308699819769
"13","to enhance the quality of life in rural communities and to recognize rural standards of living as a key indicator of the success of government policies.","Constituion","Constituion","12","en","To enhance the quality of life in rural communities and to recognize rural standards of living as a key indicator of the success of government policies.",0.265211342464986
