,Unnamed: 0,sentences,name,country,page,languages,legible,results,class
230,512,"8. an appropriation for the purposes of the national compensation fund shall be laid before the national assembly by the minister responsible for finance before the beginning, and with respect to, every financial year during the life of the fund.",Constituion,Constituion,61,en,"8. An appropriation for the purposes of the national compensation fund shall be laid before the national assembly by the minister responsible for finance before the beginning, and with respect to, every financial year during the life of the fund.",0.44732398049309796,i
243,513,"14 9. national local government finance committee, its establishment, powers and functions 1. there shall be a national local government finance committee which shall hear submissions from each and every local government authority in respect of estimates of expenditure and requests for special disbursements and shall have such other powers and functions as may be conferred on it by this constitution or an act of parliament.",Constituion,Constituion,63,en,"149. National local government finance committee, its establishment, powers and functions 1. There shall be a national local government finance committee which shall hear submissions from each and every local government authority in respect of estimates of expenditure and requests for special disbursements and shall have such other powers and functions as may be conferred on it by this constitution or an act of parliament.",0.414806524312367,i
293,1719,"all revenues or other moneys raised or received for the purposes of the government shall, subject to this constitution and any act of parliament, be paid into and form one fund, to be known as the consolidated fund.",Constituion,Constituion,74,en,"All revenues or other moneys raised or received for the purposes of the government shall, subject to this constitution and any act of parliament, be paid into and form one fund, to be known as the consolidated fund.",0.427366064027344,i
295,519,"2. where any moneys are charged by this constitution or by any act of parliament upon the consolidated fund, they shall be paid out of that fund by the minister responsible for finance to the person or authority to whom the payment is due.",Constituion,Constituion,75,en,"2. Where any moneys are charged by this constitution or by any act of parliament upon the consolidated fund, they shall be paid out of that fund by the minister responsible for finance to the person or authority to whom the payment is due.",0.46945800736198706,i
297,721,4. the investment of moneys forming part of the consolidated fund by way of deposit with a bank or such other secure investment as may be approved by the national assembly shall not be regarded as a withdrawal of those moneys from the consolidated fund for the purposes of this constitution.,Constituion,Constituion,75,en,4. The investment of moneys forming part of the consolidated fund by way of deposit with a bank or such other secure investment as may be approved by the national assembly shall not be regarded as a withdrawal of those moneys from the consolidated fund for the purposes of this constitution.,0.436153596918975,i
304,1517,"1. the national assembly may make provision for the establishment of a contingencies fund and for authorizing the minister responsible for finance, if he or she is satisfied that there has arisen an urgent and unforeseen need for expenditure for which no other provision exists, to make advances from that fund to meet that need.",Constituion,Constituion,77,en,"1. The national assembly may make provision for the establishment of a contingencies fund and for authorizing the minister responsible for finance, if he or she is satisfied that there has arisen an urgent and unforeseen need for expenditure for which no other provision exists, to make advances from that fund to meet that need.",0.418941947341049,i
306,425,18 0. raising of loans by the government 1. a loan may be raised by the government under the authority of an act of parliament and not otherwise.,Constituion,Constituion,78,en,180. Raising of loans by the government 1. A loan may be raised by the government under the authority of an act of parliament and not otherwise.,0.447287993569645,i
308,723,"1. an act of parliament may, subject to section 18 2, make provision for the creation of special funds which shall be accounted within the accounts of the consolidated fund and for the regulation or management of the moneys accounted in such special funds.",Constituion,Constituion,78,en,"1. An act of parliament may, subject to section 182, make provision for the creation of special funds which shall be accounted within the accounts of the consolidated fund and for the regulation or management of the moneys accounted in such special funds.",0.45614122207289703,i
311,1119,"1. there shall be a special fund within the consolidated fund to be known as the development fund in which shall be accounted receipts and expenditure of the government relating to the development of the republic, which have not been included in the annual statement provided for in section 17 5, and estimates of such receipts and expenditure shall be submitted by the minister responsible for finance to the national assembly not less than once a year.",Constituion,Constituion,78,en,"1. There shall be a special fund within the consolidated fund to be known as the development fund in which shall be accounted receipts and expenditure of the government relating to the development of the republic, which have not been included in the annual statement provided for in section 175, and estimates of such receipts and expenditure shall be submitted by the minister responsible for finance to the national assembly not less than once a year.",0.442573174989612,i
312,1216,"2. when the estimates of expenditure to be met from the development fund have been approved by the national assembly, a bill to be known as appropriation development fund bill shall be introduced in the national assembly providing for the issue from the development fund and appropriation of the sums necessary to meet that expenditure.",Constituion,Constituion,78,en,"2. When the estimates of expenditure to be met from the development fund have been approved by the national assembly, a bill to be known as appropriation development fund bill shall be introduced in the national assembly providing for the issue from the development fund and appropriation of the sums necessary to meet that expenditure.",0.42369838323516495,i
320,523,"1. there shall be established by an act of parliament a central bank of the republic, known as the reserve bank of malawi which shall serve as the states principal instrument for the control of money supply, currency and the institutions of finance and shall serve generally in accordance with the normal functions of a central bank.",Constituion,Constituion,80,en,"1. There shall be established by an act of parliament a central bank of the republic, known as the reserve bank of malawi which shall serve as the states principal instrument for the control of money supply, currency and the institutions of finance and shall serve generally in accordance with the normal functions of a central bank.",0.41828946301383896,i
