,Unnamed: 0,sentences,name,country,page,languages,legible,results,class
241,167,"up to rs. 1 0, 00 0  per sample for residue testing residue analysis to be done in nab labs",.NMSA_Guidelines_English,39,84,en,"Up to rs. 10, 000- per sample for residue testing residue analysis to be done in nab labs",0.0405397691417623,n
267,185,"stitching bag conveyor, stitching machine, weighing scale etc. 1 4.0 0 lakh 4.0 0",.NMSA_Guidelines_English,39,95,en,"Stitching bag conveyor, stitching machine, weighing scale etc. 14.00 lakh 4.00",0.0262563600514294,n
412,11710,"himalayan ecosystem the himalayas form the most important concentration of snow covered region outside the polar region. it is highly sensitive to global warming. the detailed glacier inventory of indian himalayas indicates presence of 957 9 glaciers in the himalayas, some of which form the perennial source of major rivers. ",’s Intended Nationally Determined Contributions_2015,39,25,en,"Himalayan ecosystem the himalayas form the most important concentration of snow covered region outside the polar region. It is highly sensitive to global warming. The detailed glacier inventory of indian himalayas indicates presence of 9579 glaciers in the himalayas, some of which form the perennial source of major rivers.",0.04209805520932601,n
697,8151,5. column no. 6 ownership of the land on which work can be carried out i.e.  land pl  land il,", 2005_Operational_guidelines_2013",39,155,en,5. Column no. 6 ownership of the land on which work can be carried out i.e.  Land PL land il,0.0441831362082874,n
710,12141,"in the ridge area of a watershed, a contour trench is a simple and inexpensive solution to slowing down surface runoff and reducing soil erosion. a contour trench is a trench dug along a contour line. a contour line is an imaginary line that joins together points of the same elevation. since the trench is dug along a line that is at the same elevation, this increases the chance of holding the runoff water for a longer time within the trench. if trenches were not to follow a contour, such digging could actually increase the possibility of soil erosion because there would be a rise in the velocity of runoff following upon an increase in the slope of the land. ",", 2005_Operational_guidelines_2013",39,167,en,"In the ridge area of a watershed, a contour trench is a simple and inexpensive solution to slowing down surface runoff and reducing soil erosion. A contour trench is a trench dug along a contour line. A contour line is an imaginary line that joins together points of the same elevation. Since the trench is dug along a line that is at the same elevation, this increases the chance of holding the runoff water for a longer time within the trench. If trenches were not to follow a contour, such digging could actually increase the possibility of soil erosion because there would be a rise in the velocity of runoff following upon an increase in the slope of the land.",0.0415724048281339,n
711,1311,contour trenches are constructed in non arable ridge area i.e. land not suitable for cultivation and with higher land slope 1 0 to 2 5 %. ,", 2005_Operational_guidelines_2013",39,167,en,Contour trenches are constructed in non-arable ridge area i.e. Land not suitable for cultivation and with higher land slope 10 to 25 %.,0.0126754698984888,n
1119,454,strict punitive action shall be taken by the state govt. in cases of misappropriation or violation of the procedure given above.,", 2005_Operational_guidelines_2013",39,79,en,Strict punitive action shall be taken by the state govt. In cases of misappropriation or violation of the procedure given above.,0.0350889788031953,n
1246,31013, wheredenotes a particular species for which these variables are calculated ,.National Working Plan Code_2014,39,30,en,Wheredenotes a particular species for which these variables are calculated,0.044431221702791,n
1247,586,"7 3. species diversity is an expression of community structure and is unique to the community. the number of species in a community is referred to as species richness when topography of compartment is homogeneous. the relative abundance of all species is called evenness. species diversity includes both species richness and evenness. a community demonstrates a high species diversity if many equally or nearly equally abundant species are present. communities with a large number of species that are evenly distributed populated are the most diverse and communities with few species that are dominated by one species are the least diverse i.e. a community is composed of only a few species, or if only a few species are abundant, then the species diversity is low. species diversity indices like shannon wiener index h` and simpsons index   are calculated separately for trees, shrubs and herbs as their individuals differ in size and are sampled differently. similarity index community coefficient is calculated for determining the number of species which are shared among the sites to assess the extent of variation in the species composition. ",.National Working Plan Code_2014,39,30,en,"73. Species diversity is an expression of community structure and is unique to the community. The number of species in a community is referred to as species richness when topography of compartment is homogeneous. The relative abundance of all species is called evenness. Species diversity includes both species richness and evenness. A community demonstrates a high species diversity if many equally or nearly equally abundant species are present. Communities with a large number of species that are evenly distributed populated are the most diverse and communities with few species that are dominated by one species are the least diverse i.e. A community is composed of only a few species, or if only a few species are abundant, then the species diversity is low. Species diversity indices like shannon-wiener index h` and simpsons index   are calculated separately for trees, shrubs and herbs as their individuals differ in size and are sampled differently. Similarity index community coefficient is calculated for determining the number of species which are shared among the sites to assess the extent of variation in the species composition.",0.0467873170418099,n
1269,15114,practically necessary details of different incidences of pest and diseases are provided. scientific information with regard to attack of fungus and other insect pests should be mentioned. ,.National Working Plan Code_2014,39,37,en,Practically necessary details of different incidences of pest and diseases are provided. Scientific information with regard to attack of fungus and other insect pests should be mentioned.,0.0445811842769582,n
