"","sentences","name","country","page","languages","legible","results"
"21"," farm  rules, 200 9 [l.n. 16 6200 9.] part |   1. citation these rules may be cited as the agriculture farm forestry rules, 200 9. 2. application these rules shall apply for the purposes of promoting and maintaining farm forest cover of at least 1 0 per cent of every agricultural land holding and to preserve and sustain the environment in combating climate change and global warming.","Agriculture Rules","12","2","en","Farm  rules, 2009 [l.n. 1662009.] part |   1. Citation these rules may be cited as the agriculture farm forestry rules, 2009. 2. Application these rules shall apply for the purposes of promoting and maintaining farm forest cover of at least 10 per cent of every agricultural land holding and to preserve and sustain the environment in combating climate change and global warming.",0.221838439442832
"13","provided that the species of trees or varieties planted shall not have adverse effects on water sources, crops, livestock, soil fertility and the neighbourhood and should not be of invasive nature.","Agriculture Rules","12","2","en","Provided that the species of trees or varieties planted shall not have adverse effects on water sources, crops, livestock, soil fertility and the neighbourhood and should not be of invasive nature.",0.137646587558211
"14","2 no agricultural landowner or occupier shall grow or maintain any eucalyptus species in wetlands and riparian areas.","Agriculture Rules","12","2","en","2 no agricultural landowner or occupier shall grow or maintain any eucalyptus species in wetlands and riparian areas.",0.158692556216063
"1","for the purpose of ascertaining whether the farm owner or occupier has complied with 1 0 per cent farm forestry or nursery requirement.","Agriculture Rules","12","3","en","For the purpose of ascertaining whether the farm owner or occupier has complied with 10 per cent farm forestry or nursery requirement.",0.12061933477944
"12","2 if an inspector ascertains that an owner or occupier has not complied with paragraph 1, he shall issue a farm forest establishment notice in form ff1 as set out in the schedule to these rules, requiring the owner or occupier to institute measures to comply with the requirement within such period as may be specified in the notice.","Agriculture Rules","12","4","en","2 if an inspector ascertains that an owner or occupier has not complied with paragraph 1, he shall issue a farm forest establishment notice in form ff1 as set out in the schedule to these rules, requiring the owner or occupier to institute measures to comply with the requirement within such period as may be specified in the notice.",0.154180949509828
"22","3 an inspector shall re enter an agricultural land or nursery to ascertain compliance with the requirements of the notice issued under paragraph 2 and shall notify the owner or occupier of his intention to report the non compliance to the district agricultural committee where the owner or occupier has not complied at the expiry of the period specified in the notice or issue a compliance certificate in form cff1 as set out in the schedule to these rules, signed by the chairman of the district agricultural committee where such owner or occupier has complied.","Agriculture Rules","12","4","en","3 an inspector shall re-enter an agricultural land or nursery to ascertain compliance with the requirements of the notice issued under paragraph 2 and shall notify the owner or occupier of his intention to report the non-compliance to the district agricultural committee where the owner or occupier has not complied at the expiry of the period specified in the notice or issue a compliance certificate in form cff1 as set out in the schedule to these rules, signed by the chairman of the district agricultural committee where such owner or occupier has complied.",0.167144979086967
"4","4 an inspector shall report to the district agricultural committee any occupier or owner of agricultural land who fails to comply with the provisions of the notice.","Agriculture Rules","12","4","en","4 an inspector shall report to the district agricultural committee any occupier or owner of agricultural land who fails to comply with the provisions of the notice.",0.139321225617216
"5","5 a person who obstructs or hinders an inspector in the exercise of his duties under these rules shall be guilty of an offence.","Agriculture Rules","12","4","en","5 a person who obstructs or hinders an inspector in the exercise of his duties under these rules shall be guilty of an offence.",0.119999736875152
"141","1 the district agricultural committee in consultation with the district environment committee if satisfied with respect to any agricultural land that a land owner or occupier was issued with a farm forestry establishment notice under rule 62 but did not comply with the notice at the expiry of the required period; a land owner or occupier had, but has not continued to maintain a minimum of 1 0 per cent of the land under farm forestry; having regard to the ecological characteristics of the land and the principles of good land management and good husbandry, the land has tree cover but is not reasonably covered with adequate forest cover to reach 1 0 per cent without the addition thereto of more trees; iris in the interests of proper environmental protection and development of the land for agricultural purposes that more trees should be added on the farm; a land owner or occupier is unwilling to comply to either establish or maintain a minimum of 1 0 per cent of the land under farm forestry cover, shall issue a farm forestry establishment and maintenance notice in form ff2 as set out in the schedule to these rules, requiring the owner or occupier to institute measures to comply with the requirement within the period as shall be specified in the notice. 2 where the land owner or occupier has not complied with paragraph 1, the district agricultural committee shall issue a farm forestry establishment and maintenance order in form ff3 as set out in the schedule to these rules.","Agriculture Rules","12","4","en","1 the district agricultural committee in consultation with the district environment committee if satisfied with respect to any agricultural land that a land owner or occupier was issued with a farm forestry establishment notice under rule 62 but did not comply with the notice at the expiry of the required period; a land owner or occupier had, but has not continued to maintain a minimum of 10 per cent of the land under farm forestry; having regard to the ecological characteristics of the land and the principles of good land management and good husbandry, the land has tree cover but is not reasonably covered with adequate forest cover to reach 10 per cent without the addition thereto of more trees; iris in the interests of proper environmental protection and development of the land for agricultural purposes that more trees should be added on the farm; a land owner or occupier is unwilling to comply to either establish or maintain a minimum of 10 per cent of the land under farm forestry cover, shall issue a farm forestry establishment and maintenance notice in form ff2 as set out in the schedule to these rules, requiring the owner or occupier to institute measures to comply with the requirement within the period as shall be specified in the notice. 2 where the land owner or occupier has not complied with paragraph 1, the district agricultural committee shall issue a farm forestry establishment and maintenance order in form ff3 as set out in the schedule to these rules.",0.228930641414517
"15","3 the order shall require acts or things to be performed or done or prohibit acts or things from being performed or done to the satisfaction of the district agricultural committee, imposing conditions upon such requirements and describing periods and dates upon, within or before which such acts or things shall be performed or done or such conditions of establishing and maintaining farm forestry.","Agriculture Rules","12","4","en","3 the order shall require acts or things to be performed or done or prohibit acts or things from being performed or done to the satisfaction of the district agricultural committee, imposing conditions upon such requirements and describing periods and dates upon, within or before which such acts or things shall be performed or done or such conditions of establishing and maintaining farm forestry.",0.197603107472519
