index,type,text,relevance
0,Facility,part ii  farm,0.978348
4,Organization,district agricultural committee,0.978348
8,Organization,district agricultural committee,0.9999
9,Organization,district agricultural committee,0.978348
11,Organization,district agricultural committee,0.978348
11,Organization,district environment committee,0.869258
12,Organization,district agricultural committee,0.978348
13,Quantity,thirty 3 0 days,0.963296
13,Organization,district agricultural committee,0.422088
14,Organization,district agricultural committee,0.978348
15,Organization,district agricultural committee,0.978348
15,Quantity,thirty 3 0 days,0.570891
16,Organization,district agricultural committee,0.978348
18,Organization,district agricultural committee,0.978348
22,Organization,district agricultural committee,0.963296
22,Organization,central agricultural board,0.384334
24,Organization,district agricultural committee,0.978348
27,Organization,district agricultural committee,0.978348
28,Organization,district agricultural committee,0.978348
29,Organization,central agricultural board,0.978348
30,Organization,central agricultural board,0.963296
30,Quantity,five years,0.113958
31,Organization,district agricultural committee,0.978348
34,Organization,district agricultural committee,0.978348
36,Quantity,six months,0.978348
37,Location,kenya,0.978348
38,Organization,agricultural sector coordination unit,0.963296
38,Organization,ascu,0.11401
39,Organization,asds,0.958279
39,Location,kenya,0.442447
39,Organization,treasury,0.279583
40,HealthCondition,malaria,0.95577
40,HealthCondition,tuberculosis,0.887366
40,HealthCondition,hiv,0.642754
40,HealthCondition,aids,0.532658
41,Organization,agricultural sector coordination unit,0.963296
41,Organization,ascu,0.867061
42,Organization,ascu,0.963296
42,Organization,asds vision,0.043324
43,Organization,ascu,0.978348
44,Organization,asds,0.978348
46,Organization,ascu,0.978348
47,Company,twgs,0.963296
47,Location,kenya,0.25492
48,Organization,kenya private sector alliance,0.958279
48,Organization,kepsa,0.935364
48,Organization,knfc,0.602431
53,Organization,government,0.978348
54,Organization,"federations, commodity associations",0.978348
57,Company,vision,0.978348
63,Organization,asds,0.963296
63,Organization,ifaa,0.805128
65,Organization,ifaa,0.978348
69,Organization,ascu,0.978348
70,Organization,ministerial coordination committee,0.958279
70,Organization,asds,0.893874
70,Organization,icc,0.786463
71,Organization,technical committee,0.958279
71,Organization,icc,0.588742
71,Organization,ascu,0.023058
73,Organization,ascu,0.978348
74,Organization,ascu,0.968313
74,Organization,asds,0.898142
74,Quantity,two-year,0.393508
75,Organization,ascu,0.978348
76,Quantity,1 0-year,0.978348
77,Organization,ascu,0.963296
77,Facility,ascu,0.662583
78,Company,m,0.978348
80,Company,databank,0.978348
