"","name","country","legible","results","sentences","page"
"1","- 2009","39"," Promote raising of capital through venture fund, loan, deposits, micro-finance, grant, fees and other receipts, and in any other permitted manner, and use it for financing or refinancing activities related to improvement of forest resources and livelihoods of the forest fringe people. **17**",0.599112855144395,"8. promote raising of capital through venture fund, loan, deposits, micro finance, grant, fees and other receipts, and in any other permitted manner, and use it for financing or refinancing activities related to improvement of forest resources and livelihoods of the forest fringe people.","17"
"2","- 2009","39","The money would be deposited in the village development fund vdf, which each JFMC edc will establish, if not already established, at the start of the project, and used as a revolving fund for undertaking safes and also as a corpus for leveraging assistance from banks and other financial institutions. The micro-finance principles may be adopted for augmentation and use of the vdf. Activities like developing businesses development plan for smfe, organizing self- **10**",0.594811946352767,"the money would be deposited in the village development fund vdf, which each jfmc edc will establish, if not already established, at the start of the project, and used as a revolving fund for undertaking safes and also as a corpus for leveraging assistance from banks and other financial institutions. the micro finance principles may be adopted for augmentation and use of the vdf. activities like developing businesses development plan for smfe, organizing self ","10"
"3","- 2009","39","Overheads may include expenditure on hired staff including for purpose of finance and accounts **9**",0.468596724879683,"v overheads may include expenditure on hired staff including for purpose of finance and accounts  ","9"
"4",", 1972","39"," E.grants and loans to authority and constitution of fund.1 the central government may, after due appropriation made by parliament by law in this behalf, make to the authority grants and loans of such sums of money as that government may consider necessary. **25**",0.483033151285163,"38 e.grants and loans to authority and constitution of fund.1 the central government may, after due appropriation made by parliament by law in this behalf, make to the authority grants and loans of such sums of money as that government may consider necessary. ","25"
"5",", 1986","39","Maintenance of and operation upon bank account investment of the corporation.-- **128**",0.543374268929076,"1 3. maintenance of and operation upon bank account investment of the corporation.   ","128"
"6",", 1986","39",", the agricultural re-finance corporation established under the agricultural re- **186**",0.542336834840136,"197 0, the agricultural re finance corporation established under the agricultural re ","186"
"7",", 1986","39","Power to make grants or loans for construction of private irrigation works. **43**",0.519128787270032,"7 6. power to make grants or loans for construction of private irrigation works. ","43"
"8",", 1986","39","With the prior approval of the state government issue and sell bonds and debentures, and other securities carrying interest;borrow money and accept deposits from central government, the state government, any bank or financial institution and with the approval of the state government, from a corporate body or from any other person. **418**",0.513060459724782,"a with the prior approval of the state government issue and sell bonds and debentures, and other securities carrying interest;borrow money and accept deposits from central government, the state government, any bank or financial institution and with the approval of the state government, from a corporate body or from any other person. ","418"
"9",", 1986","39"," Any funds of the corporation not required for current expenditure may be placed in fixed deposits with the reserve bank of india, state bank of india or any scheduled or cooperative bank approved in this behalf by the state government or invested in the name of the corporation in the securities of the state government or the central government. **129**",0.511412704027338,"1 any funds of the corporation not required for current expenditure may be placed in fixed deposits with the reserve bank of india, state bank of india or any scheduled or cooperative bank approved in this behalf by the state government or invested in the name of the corporation in the securities of the state government or the central government. ","129"
"10",", 1986","39"," There shall be formed for each irrigation panchayat a fund to be called the irrigation panchayat fund, and the money recovered by way of composition under this rule shall be placed to the credit of this fund. **84**",0.494330135115469,"8 there shall be formed for each irrigation panchayat a fund to be called the irrigation panchayat fund, and the money recovered by way of composition under this rule shall be placed to the credit of this fund. ","84"
"11",", 1986","39","Establishment and management of provident fund or other benefit funds forgenerally for the efficient conduct of the affairs of the nigam. **426**",0.480573029561527,"n establishment and management of provident fund or other benefit funds forgenerally for the efficient conduct of the affairs of the nigam. ","426"
