label,sentences,class
0,"the purpose of the middle level institutions is to provide a link between national and local level implementation of asds, technical support and coordination between ministries and stakeholders. in this connection, the following institutions will be strengthened  the inter ministerial coordination committee icc will be expanded to include all ministries that provide services to the agricultural sector. the icc will be composed of permanent secretaries of the collaborating ministries, and will be responsible for coordinating the planning of the strategy at the agricultural sector level and monitoring its implementation to ensure that its goals are achieved.",1.0
1,"to address these challenges, the government will implement the regional development policy, rationalize and restructure the authorities, and consolidate the regional development acts. emphasis will be on developing resource master plans and implementing integrated development programmes that create social and economic impact in the regions and nationally. more specifically, the following interventions will be implemented  implementing policy and institutional reforms to strengthen regional development planning  developing and conserving river banks, water bodies and catchments areas  developing community support and empowerment programmes  formulating and implementing integrated basin based development programmes.",1.0
2,"lack of a database and information to support regional development is another major constraint. this has contributed to lack of comprehensive planning by stakeholders in the regions. therefore, supporting information and records management in the subsector will provide the necessary data to support development planning and provide investment opportunities.",3.0
3,"to contribute to efforts to reduce poverty and increase income, the subsector will promote integrated community programmes that support empowerment ventures and reduce poverty in rural areas. to achieve this, partnerships, collaboration and linkages with other stakeholders will be forged in the use of devolved funds in rural areas.",3.0
4,secretariat. its terms of reference will include preparing technical guidelines for implementing the strategy and formulating interventions according to tefl budgetary process and the medium term plan.ascu has established thematic working groups that address key fast track areas of the strategy in consultation with relevant sector players and resource persons.,1.0
5,"the government shall also further reform and streamline agricultural institutions that provide services to farmers such as extension, training, research and regulatory services to ensure that they serve farmers efficiently and cost effectively. we shall also institute policy, legal and regulatory reforms so that individual farmers are encouraged to shift from subsistence to market oriented production, and to adopt greater use of modern farming practices while increasing integration of agriculture with other sectors in the national economy.",1.0
6,"the government has taken bold measures to combat corruption, promote good governance and instil a sense of financial discipline and prudent management of the economy. as a result, kenyas relations with development partners have improved dramatically in recent years. this has resulted in a major increase in external assistance, which has had a positive impact on the inflow of foreign investment and the delivery of services by the government.",1.0
7,"energy is one of the infrastructural enablers for agricultural growth. the level and intensity of commercial energy use in the agricultural sector is a key indicator of the degree of economic growth and development. to improve the energy supply, the agricultural sector ministries, in collaboration with the rural electrification authority, will develop a comprehensive rural electrification master plan to enhance agro industry.",1.0
8,"the youth will be sensitized on lucrative ventures in the agricultural sector, and processing plants for value addition will be established in rural areas to provide employment opportunities for the youth and to allow them to produce agricultural raw materials. linkages between the ministry of youth and sports and the agricultural sector will be established to offer incentives to the youth in farming either through the youth enterprise development fund, constituency development fund or the innovation fund for agriculture and agribusiness.",3.0
9,"much of the current planning is as a result of years of centralized planning, which has been supported by the systems for accessing external support, mainly through the government ministries. the top down system is supported by human resources and other institutional arrangements.",1.0
10,"an innovative feature of the strategy is its implementation through local authorities and district development committees where district development plans are formulated; district agricultural development plans will be a component of district development plans. agricultural development at the district level will be incorporated into the overall development plans of the district. an important and new role for the lead agricultural sector ministries will be to ensure that local authorities appreciate the importance of a strong and vibrant agricultural sector within their districts, and give it priority in planning and in allocation of funds. local authorities will allocate a proportion of locally generated funds for agricultural development and thus qualify for grants to supplement their efforts to develop the agricultural sector. other sources of funds like the cf will be channelled to activities that give priority to agricultural development.",3.0
11,"implementing outcome agricultural sector strategic agencies growth result areas 1. crop land development subsector sector ministries, private sector organizations institutions, development partners, ministry of planning and national development, ag chambers, ministry of finance, and parliament.",1.0
