"","sentences","name","country","page","languages"
"4","7. the separate status, function and duty of the executive initiation of general legislation the executive shall be responsible for the initiation of policies and legislation and for the implementation of all laws which embody the express wishes of the people of malawi and which promote the principles of this constitution.","../data/raw/malawi/results/Constituion/10.txt","Constituion","10","en"
"6","the legislature shall be responsible for the enactment of laws and shall ensure that its deliberations reflect the interests of all the people of malawi and that the values expressed or implied in this constitution are furthered by the laws enacted.","../data/raw/malawi/results/Constituion/10.txt","Constituion","10","en"
"8","the judiciary shall have the responsibility of interpreting, protecting and enforcing this constitution and all laws and in accordance with this constitution in an independent and impartial manner with regard only to legally relevant facts and the prescriptions of law.","../data/raw/malawi/results/Constituion/10.txt","Constituion","10","en"
"11","1. in the interpretation of all laws and in the resolution of political disputes the provisions of this constitution shall be regarded as the supreme arbiter and ultimate source of authority.","../data/raw/malawi/results/Constituion/10.txt","Constituion","10","en"
"12","2. in the application and formulation of any act of parliament and in the application and development of the common law and customary law, the relevant organs of state shall have due regard to the principles and provisions of this constitution.","../data/raw/malawi/results/Constituion/10.txt","Constituion","10","en"
"14","1. appropriate principles of interpretation of this constitution shall be developed and employed by the courts to reflect the unique character and supreme status of this constitution.","../data/raw/malawi/results/Constituion/10.txt","Constituion","10","en"
"20","3. where a court of law declares an act of executive or a law to be invalid, that court may apply such interpretation of that act or law as is consistent with this constitution.","../data/raw/malawi/results/Constituion/10.txt","Constituion","10","en"
"22","4. any law that ousts or purports to oust the jurisdiction of the courts to entertain matters pertaining to this constitution shall be invalid.","../data/raw/malawi/results/Constituion/10.txt","Constituion","10","en"
"3","iii. the implementation of policies to address social issues such as domestic violence, security of the person, lack of maternity benefits, economic exploitation and rights to property.","../data/raw/malawi/results/Constituion/12.txt","Constituion","12","en"
"61","to achieve adequate nutrition for all in order to promote good health and self-sufficiency. c. health right to health care to provide adequate health care, commensurate with the health needs of malawian society and international standards of health care.","../data/raw/malawi/results/Constituion/12.txt","Constituion","12","en"
"13","to enhance the quality of life in rural communities and to recognize rural standards of living as a key indicator of the success of government policies.","../data/raw/malawi/results/Constituion/12.txt","Constituion","12","en"
"81","h. children state support for children to encourage and promote conditions conducive to the full development of healthy, productive and responsible members of society. i. the family right to found a family to recognize and protect the family as a fundamental and vital social unit. j. the elderly state support for the elderly to respect and support the elderly through the provision of community services and to encourage participation in the life of the community. k. international relations customary international law international law to govern in accordance with the law of nations and the rule of law and actively support the further development thereof in regional and international affairs.","../data/raw/malawi/results/Constituion/13.txt","Constituion","13","en"
"111","to strive to adopt mechanisms by which differences are settled through negotiation, good offices, mediation, conciliation and arbitration.","../data/raw/malawi/results/Constituion/13.txt","Constituion","13","en"
"131","to promote law and order and respect for society through civic education, by honest practices in government, adequate resourcing, and the humane application and enforcement of laws and policing standards.","../data/raw/malawi/results/Constituion/13.txt","Constituion","13","en"
"15","to achieve a sensible balance between the creation and distribution of wealth through the nurturing of a market economy and long-term investment in health, education, economic and social development programmes.","../data/raw/malawi/results/Constituion/13.txt","Constituion","13","en"
"17","to introduce measures which will guarantee accountability, transparency, personal integrity and financial probity and which by virtue of their effectiveness and visibility will strengthen confidence in public institutions.","../data/raw/malawi/results/Constituion/13.txt","Constituion","13","en"
"19","the principles of national policy contained in this chapter shall be directory in nature but courts shall be entitled to have regard to them in interpreting and applying any of the provisions of this constitution or of any law or in determining the validity of decisions of the executive and in the interpretation of the provisions of this constitution.","../data/raw/malawi/results/Constituion/13.txt","Constituion","13","en"
"221","1. the human rights and freedoms enshrined in this chapter shall be respected and upheld by the executive, legislature, judiciary and all organs of the government and its agencies and, where applicable to them, by all natural and legal persons in malawi and shall be enforceable in the manner prescribed in this chapter.","../data/raw/malawi/results/Constituion/13.txt","Constituion","13","en"
"24","2. any person or group of persons, natural or legal, with sufficient interest in the promotion, protection and enforcement of rights under this chapter shall be entitled to the assistance of the courts, the ombudsman, the human rights commission and other organs of the government to ensure the promotion, protection and enforcement of those rights and the redress of any grievances in respect of those rights.","../data/raw/malawi/results/Constituion/13.txt","Constituion","13","en"
"5","1 6. the right to life right to life every person has the right to life and no person shall be arbitrarily deprived of his or her life provided that the execution of the death sentence imposed by a competent court on a person in respect of a criminal offence under the laws of malawi of which he or she has been convicted shall not be regarded as arbitrary deprivation of his or her right to life.","../data/raw/malawi/results/Constituion/14.txt","Constituion","14","en"
"10","2. in any judicial proceedings or in any other proceedings before any organ of the state, and during the enforcement of a penalty, respect for human dignity shall be guaranteed.","../data/raw/malawi/results/Constituion/14.txt","Constituion","14","en"
"112","3. no person shall be subject to torture of any kind or to cruel, inhuman or degrading treatment or punishment.","../data/raw/malawi/results/Constituion/14.txt","Constituion","14","en"
